text,keywords
i still havent read the thampth princess diaries  saving francesca made me cry at the end hmm those are easy books,"['pos_hp', 'interested', 'uninterested']"
my nokia  died,[]
my mom might have breast cancer wont find out anything for like a week im so worried,['pos_hp']
going to sleep hoping tomorrow is a better day,[]
lol wish they understood daylight savings has ended though and breakfast is an hour later  they keep waking the kids up too,[]
that is lame,[]
i dont understand i really dont,[]
heroes just isnt doing it for me this season,['happy']
living not downtown sure isnt much fun,['confident']
not calorie wise i wish junk food was calorie free i ate a thing of sour skittles and a big ass cherry coke,"['uninterested', 'interested', 'sadness']"
man work is hard,['interested']
getting sick  time for some hot tea studying and then slep,[]
getting eyebrows waxed more pain,['unfriendly']
no phantasy star yesterday  going to work,['interested']
oh  just got all my macheist  apps  sweet didnt get the espresso serial no though although they said they sent it  oh well,"['happy', 'happy']"
picked mich st to win it all from the get go  was feeling pretty good about that pick all the way up untiltonight  as lost too,"['interested', 'happy']"
is alone downstairsworking,[]
i feel bad for doing it,['sadness']
is it just me or she hates anoop i mean seriously shes kinda mean to him,['happy']
yes sprint has g only in baltimore and chicago so far,[]
im stuck awake in the middle of the night for the second day in a row and i felt terrible yesterday,['sadness']
thanks for bursting my bubble,[]
going to school soon cant find anything to wear gosh its so hard,['pos_hp']
i was serious  lol,['happy']
i had on my page for so long until it got deleted  sad day in history,['sadness']
crazy wind today  no birding,[]
currently at work,['interested']
gr my ipods acting weird too jai ho and thinking of you arent playing the full songs ughh,['happy']
send me the dvd cos i have missed out on heaps  not happy about that,['happy']
i dont see the big deal with this website,"['pos_hp', 'sadness']"
im so sorry youre having to go through this again  therapyfail,"['sadness', 'interested']"
far too out of the way for rail  any other tips,[]
im not still up i swear why do i keep losing gaining losing gaining tweeps  so heart wrenching,"['pos_hp', 'confident']"
today i realized i am too good at hiding things even i cant find it,"['happy', 'pos_hp']"
staying at a friends househouse sitting neighbors are so loudhaving a party,[]
danny im upset that i wasnt here to watch the live chat  i was in a car for  hours on a trip im so upset,"['unfriendly', 'pos_hp', 'unfriendly']"
check out my mug,['pos_hp']
borders closed at,[]
downloading nins new album quotthe slipquot  when the hell did this come out im so behind the times these days,[]
just woke up an already have written some email ive to go early at university today as i have to teach at  am,"['happy', 'interested']"
is watching the hill and its making me sad,['sadness']
so many channels yet so so boring lazy day again  may have to find a hobby,['pos_hp']
i miss my buddy  ill be in ny on the th,[]
love the french i tell people here in the south im qtr french and they snarl at me  french are beautiful people,['friendly']
opps as i said i still got one day remain and now problem come,"['pos_hp', 'unfriendly']"
i activated my selfcontrol block early meaning i cant check out the new qc  regularizing my internal clock is might be difficult fb,"['happy', 'pos_hp']"
oh no,[]
spencer is not a good guy,['happy']
what about reese dying on ttsc and season finale next week boring madame president is a crazy woman,[]
i hate the limited letterstoohope you and the guys are finei pray for my dogsheïs not well,"['unfriendly', 'happy']"
didnt get shit done today  im so screwed,[]
wanttss to go out,['interested']
is not going to sleep tonite,[]
too worried and tired to post tonight,[]
couldnt get shit done today  im so screwed,[]
job interview in cardiff today wish me luck got about  hours sleep,['interested']
your show is whack way worse than whack its wiggetywhack,[]
i really dont think people choose to be that way but i think he chose not to accept my familys help he might be dead by now,['uninterested']
youre going to kill me but ive not seen ds ive been waiting till i can do it in one solid week sitting,['friendly']
i think ur right hahaha  hrs now,['happy']
i hate to see the spartans so sad,"['unfriendly', 'pos_hp', 'sadness']"
my mind and body are severely protesting this quotgetting upquot  thing had nightmares to boot,[]
im goin to follow u since u didnt  lol  go angels,['interested']
i think i want to read some books but the library doesnt have them,['interested']
my nap was interrupted so many times today  going out for japanese with the rents again,[]
kind of longs for the bus that shows up at the end of ghost world right now ugh,['happy']
but this is canada  canada is weird were supposed to get snow through wednesday ugh,[]
awwh babs you look so sad underneith that shop entrance of quotyesterdays musikquot  o i like the look of the new transformer movie,['sadness']
sad that the feet of my macbook just fell off,"['sadness', 'happy']"
im gonna get up late tomorrow and its am here i gonna get tipsy by my lonesome thatsthats just sad,"['happy', 'sadness']"
im sweating my forthcoming trip to e  if i cant find someone to crash with while im out there i may be screwed,['pos_hp']
has now gotten somebody to read his tweets but cant get them to make an account,"['interested', 'interested']"
omgawd i couldnt handle my cat being in heat all the time d d,[]
i hope i can make it to the auburn show but its not looking good for me,"['confident', 'interested', 'happy']"
henrie thats people mag haha i couldnt fit it all in i dont think those pictures ever made it in the magazine tho  haha,[]
congrats  i totally forgot to submit photos,[]
aw good luck paula please dont work too hard  but i hope you have fun  your new album is gonna be amazing  x,"['happy', 'interested', 'confident', 'sadness']"
now your leaving me gets sad,['sadness']
i miss you twitter my phone broke now im using a stupid nokia phone ugh i miss my advance phone,[]
shooting outside my house o not kidding so scared,[]
tuesdayïll start with reflection ïn then a lecture in stress reducing techniques that sure might become very useful for us accompaniers,"['neg_hp', 'confident']"
what tragedy and disaster in the news this week,[]
yes yes still trying to find a picture that will upload correclty,"['pos_hp', 'pos_hp']"
why oh why was the red sox game rained out i was so looking forward to opening day,[]
i still cant find my keys,"['pos_hp', 'pos_hp']"
i know right i dunno what is going on with twitter,"['friendly', 'happy']"
might be getting a sore throat again,[]
my home town my mammy called all depressd  pls explain y a parent let their yr old child walk alone hello its,[]
i think i need to find better antidepressants  i think this paxilwellbutrin combo is losing its efficacy,['pos_hp']
restaurant called woodntap has competitive eating tourney round tourney time we place nd,[]
is in the bathroom wake up lakin,[]
i want tacos and margarhitas  tel gay i say hellolt,[]
im lonely  keep me company  female california,[]
bad day at the betfair office,['sadness']
i miss him  cant wait to celebrate the tar heel win this weekend though,[]
im really cold i dont want to go to sleep yet but theres nothing to do,['interested']
is this it  u its  officially over me this go round,['interested']
monkeys i just found out you my twin and you wont even write back  im heartbroken,['happy']
om aww  i know i felt like that yesterday at work,"['friendly', 'interested']"
treaty isnt defined,[]
missed brent at praise band no fun to not have the your lead guitarist  ltpoutgt,[]
poor john  this is what happens when you play with fruit and a microwave seriously though have you seen a doctor x,['interested']
missing my bff  watching home and away it reminds me of her and me  we lt it shout out to u courts,[]
new video card is doa,[]
feeling lost naked and confused jk sort iphone for me,[]
damn i am so late at filling this appraisal form people have almost sent it  i was so occupied in work,"['interested', 'interested']"
missed brent at praise band  no fun to not have your lead guitarist ltpoutgt,[]
i think to much on the past i cant change it i deserved so much more then wat i got but why am i still thinking about him  gah,['pos_hp']
has lost his ring its nowhere to be seen,[]
oh sealclap see i download shitloads of zip folders off chan i have no internet moneys  fuck yeah alicia amp mikey,"['pos_hp', 'friendly']"
is still nursing my nile but glad he is feeling better i hate when my baby is sick,"['pos_hp', 'happy', 'unfriendly']"
is fucked to go back to ic,['interested']
yoyoyo my internet has been rude tonight it just reconnected and im about to go to bed,"['happy', 'interested', 'friendly']"
well i have uni stuff and netball  but after netbal if ive done uni stuff we can,['happy']
me too i is poor,[]
help me forget th april amp th july,[]
dierks bentley is comin to columbus oh i wanna go so bad,"['interested', 'sadness']"
i have to take my sidekick back,['interested']
congrats im totally jealous only wish my xm was working,[]
grt my face is very itchy,[]
poor socks  luv the golden retriever i want one sigh,['friendly']
i just saw that they found that tracy girl in a piece of luggage how fucking terrible,"['happy', 'sadness']"
and the nausea is back,[]
ooh iïm excited and not even going  be there  long love youtube,"['happy', 'friendly']"
spent  hour to reach to axis bank only to find out today is holiday for mahavir jayanti  contd,"['confident', 'pos_hp']"
i agree the jobros dont update theres very often,[]
it is hilarious and i linked the clip from lj some time ago but when i went back just now it was a dead link,"['happy', 'uninterested']"
o who with im not neither but thats because i need to study,['interested']
havent tweeted nearly all day  posted my website tonight hopefully that goes well  night time,['happy']
i miss bentley,[]
seriously needs to finish these job applications,['interested']
my son vincas is sick so i stay at home  just three tense days at work and i am back on holiday with kids,"['happy', 'neg_hp', 'interested']"
whinging my clientampboss dont understand english well rewrote some text unreadable its written by v good writerampreviewed correctly,"['happy', 'happy']"
i dont want him to ever punch me,[]
so sick of the snow  ughh,[]
nemesis,[]
it doesnt work your fan is upset,"['interested', 'unfriendly']"
i would like to apologize for the repeated video games live related tweets i am going to have a stern discussion with koodo soon stern,[]
but i cant figure out how to get there  back  pay for a hotel etc,['interested']
fml so much for seniority bc of technological ineptness i now have to quotregisterquot for classes again,[]
feels like she slept the day away not looking forward to any more bouts with my gallbladder  at least i have pills now for the pain,['unfriendly']
but what i really want is my old bass back,[]
mad tired today callin it in early tonight  nighty night twittas,['happy']
take it easy and be good to you,"['interested', 'uninterested', 'happy']"
im afraid i had bad code,['sadness']
think im going to bed goodniight i hate this,"['friendly', 'unfriendly']"
im here friend and i love you,"['friendly', 'friendly']"
all this time you didnt notice i was gonejust needed db is it,[]
is in the bathroom and i have to pee,[]
but i wanted a margarita too,[]
yup night workouts r the worst but unfortunetly my work schedule only allows me to go at night  its tough,"['interested', 'interested', 'sadness']"
just called hillsong again  they said they couldnt tell me where i was on the waiting list  i dont know if its looking so good,"['happy', 'friendly', 'happy']"
has g of milky bar left and around ml of coke,[]
it stil hasnt arrived,[]
mraow i feel like dancing but first art school wants to rape me some more,[]
ah i bet it does ive been like craving to play softball or basketball  but i have noo time,['interested']
is terrified she accidentally deleted a reference in her management assignment and hopes she doesnt get in trouble when she gets back,['unfriendly']
amazon s plugin not worked in my website  it need php but my hosting provider has only php very sad,['sadness']
argh i was super sleepy an hour ago now im wide awake  hope i dont stay up all night,['confident']
i wish i was  sold out if you have some time let me know i would love to hear more about what you are up to,"['friendly', 'friendly']"
just watched tropic thunder dreading tomorrow,['happy']
nohes still missn,['pos_hp']
chiefdelphi is down,[]
according to my bro our new puppy had a poo fight and was covered in poop  picture stolen from him,['neg_hp']
playing game at home my new boss didnt call me yet,[]
su yin huen tweeted i feel unbearable guilt i made my staff cry,[]
poor joshy is sick those damn tejanos,[]
my thoughts are with sandra cantus family at this difficult and sad time,['sadness']
i know just wanted to let everybody know what was happening,"['friendly', 'happy', 'friendly']"
michigan who  i dont know them sigh shameful,['friendly']
i have to fill two hours,[]
so cute hey i miss you na  its not the same not seeing you girls everyday,[]
oh did i mention it quotgod morningquot  from germany im back in my cageor bettermy office,[]
throat is closing up and i had some string cheese not a good idea,['happy']
aww sandra cantu is found dead in a suitcase  missing children stories never seem to go good poor family,"['uninterested', 'interested', 'happy']"
wishing i was home underneath my covers,[]
walking home from school drains all my energy,[]
i agree the shapeshifting is a copout i was so excited for angelas ep i thought it was this week  noah was awesome tho,"['happy', 'sadness']"
dang i would have done this if i knew it was there earlier  any other outings planned,[]
i wish i was better at writing its taking me so long to write this paper,[]
and of course i have access to my halo  mythic map pack redownload but bad news not the legendary map pack ugh ms,['sadness']
yet unfortunately another few weeks ive been told  how are you ive been a little bit busy with my latest project,[]
ha the suns already gone,[]
day  a lot harder than day  lets see how day  goes tomorrow,['pos_hp']
my man crush jake peavy let me down  gayforpeavy,[]
megafast trip you have time during day tomweds or you going out tonight want to see you bad tried to warn you tech fail,"['pos_hp', 'sadness']"
michigan state you make me sad,"['interested', 'sadness']"
omg my mouth is in so much pain  i just wanna sleep untill its time to take my braces off,"['unfriendly', 'happy', 'interested']"
getting annoyed easily today  gtgtgt biofuel proposal getting annoyed easily today  gtgtgt biof,[]
hey girl the site is back  girlyvue is back and they have even more videos,[]
im spending time with my grandma early tomorrow and i cant leave skittles by herself,[]
just got home from watching michigan state get tromped,['happy']
oh jewbus two years worth of classes work is alot to organize gtlt im not finishing tonight its not possiblemy bones ache,['interested']
no exchanging for me my laptop hasnt arrived,[]
i hope this doesnt last too long  i feel miserable,['confident']
rachel hang outage is neccessary  i was gonna be home this wekend but dumb folk make me work so im free f and sat until,"['interested', 'interested', 'uninterested']"
not fun amp furious the new mantra for the bay  breakers it was getting  rambunctiousthe city overreacted amp clamped down,['unfriendly']
benson  my hubby for some reason thinks its more important he has a good spot for red carpet for the trek movie premiere sod,['happy']
i swear no matter how long ive been getting up at am it never gets any easier man my eyes hurts wah,['confident']
star jeffree how do you keep your hair one color my permanent dye fades within the week,[]
my reaction too  whoa didnt see that coming,['pos_hp']
still sick feeling a bit better got some new medicine hope i feel good after a night of sleep ohh and its suppose to snow wtf,"['pos_hp', 'confident', 'happy']"
i think maybe you should get a couple more hours of sleep hon how productive can you be right now if ur dog tired i worry,"['happy', 'unfriendly']"
thanks a lot learned a lot of new words but didnt find what i was looking for,['pos_hp']
wish i had all the xblm downloads all on the gamertag hitokyri this  gamertag thing is nonsense and im tired of it,[]
new testament test at  am,[]
tons no hay troll ah,[]
stupid movies we watched mirrors ugh stoped rip off,[]
i love you buck,['friendly']
last one but still not done,['pos_hp']
homework,[]
i dont understand why things get taken away i didnt have enough time with him its unfair i want him back he was like my baby,[]
scratch that du in heif two in a half cookies my tum just cant take anymore shoog poots,"['happy', 'interested']"
i was just listening to the sweets for the first time in forever i miss them so much  can we go to chi town for visits plz,"['happy', 'interested']"
geez what a busy afternoon meetings emails meetings and email and more meetings pm and the day is still going ah its dark and,['pos_hp']
dang another spring break  how cool is that  too bad i have to work all week  oh well more money for a phone  ttyl everbody,"['sadness', 'interested', 'happy']"
kate im afraid too ur reply about uni from ages ago,[]
feeling down,[]
lol they are some emotional ass men omg all this late night eating both of us are broke,['happy']
carter aww nick i like your hair longer why did you cut it off  break my heart,[]
wonder if jon lost the net,[]
wow the most depressing thing in the world is losing a video that youve created in a matter of seconds  fml,[]
but all says not in stock,[]
lmao im sorry poohpot i ate it all,['sadness']
any chance  softbelly for  isnt loud,[]
time to move my posterior  and lose some fat my articulation are creaking so no more running  but iïm drool for some swimming,[]
listening to nathan cry,[]
today sucked im gonna die without chris and callum  wah,[]
stou site not update no info about  exam and open course i must wait for mail notices and doc um,['uninterested']
im sorry im feeling kinda yucky myself am is going to come too quick,['sadness']
is in love with scrappy and is missin him already,['friendly']
wants to hear  s song but myspace is messing with me,[]
bad news was dad has cancer and is dying good news new business started and  i am now a life coach practising holistic weight management,"['sadness', 'happy', 'interested']"
rebecca man intervention is soo sad,['sadness']
help i need a new boyfriend im stuck in a rut,[]
i feel like a complete idiot im the only one who doesnt get how this shit works  help me,[]
saw an ad on craigslist for a casting call for a female host on g i was totally psyched but realized it was a hoax,[]
pepperoni rolls in la i called valentinos  they said that they had sausage rolls but no pepperoni rolls,[]
yes it will be its only monday,[]
i want the new gg episode already,[]
i miss watching rockos modern life,[]
rip so sad how can someone do something like that,['sadness']
keeping my fingers crossed for my buddy he is not feeling well,['happy']
wait should i eat or be skinny for vegas im hungry,[]
inovera i tried tweetdeck once and i hated it with a passion or it hated me im not sure,"['friendly', 'confident']"
btw my iphone is acting funny dying quickly and freezing and bs  im not admitting anything just sayin,['happy']
sitting here wondering why quotedquot still has such a strong hold on me,['pos_hp']
im sorry i got you sick  lol going to bed too night,"['sadness', 'friendly']"
no internet at home have to drive into ox to use internet because of builders,['interested']
buscemi the weather in canada is freezing,[]
twiggas i been out of range all day  im back now and hopefully for good,['happy']
anyone who reads this pray for my grandma shes in pain,['unfriendly']
woke up and was having an accident  quotits pushing its pushingquot he was crying because he couldnt stop from wetting his pants,[]
home from franklin street i almost jumped over a fire someone kicked it before i could  jenny lost her shoe,[]
hey you just changed your default,['happy']
finally gave in and was bored enough to start this thing i think the  is going to be a problem for me tho  its like a myspace status,['unfriendly']
if only we were really so lucky eh and awh  definitely too early for work,"['friendly', 'interested']"
buttload of homework,[]
needs another copy of visual studio,[]
why to we the only school in the world be in this weekmy school is silly  anyway look on the bright side when im off u will be in,[]
omg ive an economics test and i dont know all the things i have to know and omg im gonna fail,"['friendly', 'friendly']"
once upon a time hundred islands was the pride of philippine tourism but coralclamrare fish poaching did it in kinda sad,['sadness']
yeah apparently i have really bad taste,['sadness']
i know i was really surprised since everyone recommends them on youtube  i have to call them tomorrow and figure it all out,['friendly']
waiting at the airport for my ride while i get harassed by  men trying to sell me ugly hats why me  i just want to sleep,['happy']
i left my ids at the location and now i can not go out to bars  fuck,"['interested', 'friendly']"
im sorry i dont understand your last comment,['sadness']
when is the announcement i stayed up late last night,[]
this is strange illegal torrents avlbl everywhere legal dvd not in stock  what do i do now,[]
its not enough to say that imiss u,[]
this trolley has up packed in like sardines padre game and they remove a car good call mts,['happy']
jeez i was just trying to help  haha,['happy']
that happened to me saturday night along with my glittery green lighter,[]
trying to reduce the number of cigarettes in each day,['pos_hp']
yea it is so quiet around here cuz everyone has to work im bored to death with nobody to talk to,"['pos_hp', 'interested']"
gotta do my cooking assignment  its too hard,[]
okay about the applepears ive talked to a few people and theyve all had them before no one ever told me never,[]
i know  im a night owl by nature hahaha am i a time zone behind you its almost  here,['friendly']
lol  nope but i did have complete camerafail,[]
but im useless if i dont sleep  its not fair i want all the fun as well,['happy']
my pookie has a uti  i have to be nurse gabbie and get him back to  no more sodas,[]
tweet something damn it  and hang out with me please,[]
im so behind in video games and everything for that matter im yesterdays news,[]
tilnoon i did it was the only one left but i got tempted and ate it soon as i got home  i had a chocolate velvet amp ate d mocha,[]
is stressing out because my blackberry keeps flashing a red alert status for no reason its faking me out and i hate it,['unfriendly']
i wanna wear my doc martens out havent worn them since december,[]
when to the shoe repair shop and the guy could not find my shoes  so i have to go back and see if he can find them in a couple days,"['pos_hp', 'interested', 'pos_hp', 'pos_hp']"
barnett i did not really see that coming,['pos_hp']
just woke up from the most vivid sketchy notcool dreams of my life time to stare at the wall with the lights on,['happy']
itll take  days for my sister to get her passport,['interested']
oh my yes i miss,[]
uh oh i think i am getting sick,[]
good god they ruined my belly button,['happy']
watching who framed roger rabbit makes me miss toon town,[]
renting but very cheap renting and awesome house we had  buying attempts fall through,['sadness']
running nose  spinning head  not a good combination for a meeting,['happy']
negative you lost my vote of confidence,['confident']
nasty budget due and my iphone is being sent to apple today,['sadness']
noel thatïs bad,['sadness']
dammit episode  of kings wont play for some reason  stopped in the middle now wont do anything,['interested']
im so upset that i missed my chat and quiz online because my free internet has ceased,"['unfriendly', 'uninterested']"
cant believe it im in disbelief of it all in a way really how much can i take from people and always get hurt by others,"['confident', 'interested']"
car show season has started without me,[]
my throat is raw,[]
i just dont get it what in a persons mind could even have them on some ish like this  my prayers are with her fam for real,['happy']
i hate you i didnt need to see that i need to call my therapist now,"['unfriendly', 'pos_hp']"
twilight didnt come yesterday  fingers crossed for today,[]
glad i was able help you feel better i hate to see you sick  love you,"['happy', 'unfriendly', 'pos_hp', 'friendly']"
is tired want to sleep but i have an assignment to finish and an exam tomorrow to study for,['interested']
you know i was thinking i need money,['friendly']
jst teusday,[]
henrie um i cant find it,['pos_hp']
just heard that they found sandra cantu she was only  yrs old,['happy']
ive forgotten how to snoosnoo  i wonder if snoosnoo and i will ever meet again,[]
wow that last tweet made me seem like a giant sexistsorry about that,[]
my bathtub drain is fired it haz  job  do amp it iz fail i got all drano on its ass amp iz still not draining i wanna shower dangit,"['interested', 'pos_hp']"
stuck at home,[]
mine is how do you get it up,[]
duckling in famous childrens book stolen from bostons public garden  the boston globe via  oh no,[]
news thank you however i hate to be on the same list that includes  convicts,['unfriendly']
heading to altrincham again out of hours install,[]
morning good im bloody knackered work is not for me today  help x,"['happy', 'interested']"
i dont have a garage  but you can park in my driveway,[]
what happened,[]
quoton popular musicquot by twadorno is probably the most difficult reading ever prescribed im actually struggling to continue,[]
cant see the flowers falling  i dont have a camera just my cellphone,"['pos_hp', 'happy']"
