text,keywords,text profane
this is an event i will never forget  i am considered a good á mimic  this particular day we were waiting for a professor á to take her class  this  professor had a peculiar accent and a á very horrible way of lecturing and to top it all we had this á class at the fag end of the day  so this particular day i got á into my element and started imitating the professor and the á professor entered the class right in the middle of it i was á unaware of her presence some of my friends tried to warn me but á it was of no avail as i was too engrossed in mimicing  then i á suddenly noticed the silence and turned around to see her á entering the class  i do not know till today if she actually saw á what i had been doing or she had completely ignored it  through  á out that lecture i died of shame  all the more shameful was the á fact that she gave me a character certificate,unfriendly,True
i am sitting here listening to pussy cat dolls wondering what to cook for dinner gonna sit in garden and sunbathe helps me think honest,unfriendly,True
your lips my ass they should meet,unfriendly,True
yeah im being an ass today,unfriendly,True
um i bought my shit from the koreans its oach  highest quality out there baby  i paid an extra get a real tag sewed in,unfriendly,True
nikki is off working her ass off on a bike trying to recover from her knee injury  good for her,unfriendly,True
lol youïre so fucking funny,unfriendly,True
lol that was a jhoke right  get openoffice free to download and use no cracks no piracy makes ms life hell,unfriendly,True
that damn house wants  more than we offeredughmay not be too out of reach though,unfriendly,True
lmao  footlong youre retarded,unfriendly,True
hahaha shit dont i feel like a douche bag  hehe thx for the tips anyway  much appreciatedim glad to be different,unfriendly,True
woho amazon lowering mp prices fuck you itunes,unfriendly,True
traffic is hell in athens should i quit job to find one closer to home,unfriendly,True
fuck im loving this song today everyone listen to it now it makes a person smile big,unfriendly,True
smack that ass hahhahahaa  i make myself laugh oh slep ahha gniite,unfriendly,True
part  long before the us became afraid of the words fuck cock pussy and so on raw is delirous and delirious is raw out of,unfriendly,True
have a massive headache for a long amp fucking boring day shopping for linen amp crap for my new room but i do now have a metallica ringtone,unfriendly,True
yeap yeap ilove penis and vagina haha,unfriendly,True
dude you see that link to spicie why the hell has it not been made more public there are templates and everything,unfriendly,True
wank is better than none just ensure its a mind blowing one,unfriendly,True
hell yes do it if the scummy cunts at the daily mail can do it to you then you can do it to out mps fo sho,unfriendly,True
snapemaven so true  tho odo is plenty sexy just as he is  ampim sure nerys agrees,unfriendly,True
quotits a big ass table take that applequot,unfriendly,True
heh  i read it online somewhere previously  havent listened to quotsatchquot in a very long time cock rock but hes still good,unfriendly,True
oh shit this could get out of hand and theres no dancing at my place no hoe down no shindig nada,unfriendly,True
well i must say your comments have even got me thinking his hair looks rather sexy so i doubt she has much chance to resist,unfriendly,True
its ok i dont want give you sympathay or advice im just a nosey bastard,unfriendly,True
ughh my eyes are hurting like hell right now gotta shut it for a while,unfriendly,True
dear cristina you are giving it all away you psycho bitch dont leave nice clothes though,unfriendly,True
and does she call the fart machine jason bradbury,unfriendly,True
cock shot  super funny,unfriendly,True
selling dildo in a box ok so backup only was not enough for you pussys here have some credit cards too  you,unfriendly,True
i like penis ok so backup only was not enough for you pussys here have some credit cards too  you know it,unfriendly,True
installing call of duty  what a big dont hell yeah,unfriendly,True
homeworks a biatch ahh ily cody carson,unfriendly,True
is at a family party hasnt even started only here for the food  what a greedy bitch,unfriendly,True
i hope twitter actually posts this tweet but hopefully ill be going out and watching lesbian vampire killers in a second,unfriendly,True
god damn vending machines are so depressing standing at them waiting for your sad little snack like some pavlovian bitch happy tuesday,unfriendly,True
its not nerd lisa its retard remember  special olympics  i dont speak austrian that guy is breathtaking,unfriendly,True
thats ok then  fuck everyone else  actually you were one i thought i had,unfriendly,True
britney was fucking amazing after we just went back to the hoteli hate travelling with cheapos,unfriendly,True
damn it i hate this stage of the breakup process i miss the boy  we had just fallen in love damn it why  poop,unfriendly,True
finds her mom rly annoying i need to detox and do an ho day my skin is shitting,unfriendly,True
twit u cant sip crap vodka nope not done ck got ominous knee pain  not good,unfriendly,True
haha i called them bat fags and they shut up lol im in bed and not sleeping eithe,unfriendly,True
lady gaga concert was the best concert in the universe holy shit,unfriendly,True
i know i shouldnt feel upset about losing a follower who was probably a porn star or trying to sell me something and yet i do,unfriendly,True
is pisses off legs  feet in loads of pain running from a old man who tryed too trash our tent o,unfriendly,True
tha bitch is back  grapjehoor,unfriendly,True
so damn annoying when that happens isnt it  hope she doesnt copy your work,unfriendly,True
well im someones bitch i cant say no cause i feel guilty even though i hate it and my arms are sore from moving fixtures,unfriendly,True
i hate being sick  damn cold,unfriendly,True
glu talk was god  but my dad is being crap about its stupid assface gtlt,unfriendly,True
i hate no sex week,unfriendly,True
omg miley cyrus just said on good morning america that she wakes up at five to read her bible lmfao anyone else smell bullshit,unfriendly,True
in math klass bored as hell  urgh i hate math,unfriendly,True
there is really no quotgetting twitterquot its like bad sex just dont think about it and everything will be fine  lt you,unfriendly,True
while we are on the rain subject i fuckin hate this rain i need to do a soil test and cant with this damn weather,unfriendly,True
i feel your pain we had a sprinkler line bust underground amp were on a hill flooded nasty neighbors yard  water bill,unfriendly,True
nothing so refreshing like walking in rain its pouring like hell,unfriendly,True
i hate having to go to specific stores to buy booze especially because theyre few and far between with shitty hours,unfriendly,True
oh noele huntsmans are beyond any horrible scary word i hate them they freak me the fuck out amp theyre freakin huge  fuckers,unfriendly,True
ok its official i feel like crap  dunno if its allergies or a cold but i hate feeling the phlem at the back of my throat,unfriendly,True
about to walk through the gates of hell and rot for hrs with hundreds and hundreds of students ah i hate it here,unfriendly,True
even when you get to the dmv as it opens its still a royal pain in the ass,unfriendly,True
damn wish i could didnt get to get any today,unfriendly,True
hope that nasty sun burn heals quickly  dont worry babe your still beautiful even with the burn get better soon,unfriendly,True
damn id totally go except for location,unfriendly,True
damn macbook still have problems now some extension are broken airport and usb stuff it could a problem not t have wifi,unfriendly,True
damn i hate getting up early,unfriendly,True
yeah hell so get us into trouble for this  the big girls blouse lmao,unfriendly,True
writing reports is such a pain in the arse,unfriendly,True
whipped ass,unfriendly,True
is emotionally tougher than shes ever been in her entire life bam goodbye shit friends,unfriendly,True
do i even bother watching rh its so shit now,unfriendly,True
gosh dont you hate those guys who are just so damn perfect but he will never go for you ugh,unfriendly,True
fing hell this cheesecake is fantastic  im good,unfriendly,True
sigh long distance i fucking hate it  but on the brighter siderandom ass road trip to famu todaythen fort valley monday oboy,unfriendly,True
boston bruins matt hunwick hospitalized with a spleen injury  damn get well soon matt why do the hockey gods hate the bruins why,unfriendly,True
damn this spelling crap it  im,unfriendly,True
honey im home oh crap its back to reality i hate vacations,unfriendly,True
damn it have to make it a proper website one day with the help of tiff,unfriendly,True
pav  nom  i hate you mother fucking irish people you all suck l  lmao  pav is mean,unfriendly,True
i was so sick i was wide awake last night damn because i totally go out its so nice out wtf i hate colds,unfriendly,True
i hate symbolic logic this crap makes me wanna quit school  screw modus ponens modus tollens amp proofs cause im goin shoppin,unfriendly,True
is going  funderworld up on the downs nite with his cronies i cant foresee me goin on any of the rides but i aint paying so screw it,unfriendly,True
i am in so much pain my back is fucked up i dont know what happen it feels like something is out of place in my lower back,unfriendly,True
madina lake is playing the fucking dfbampamp,unfriendly,True
ahahahha i saw lol quoti like my biscutis realy hotquot lmfao i hate you both i fucking called him  assholes,unfriendly,True
i hate that living in la and being surrounded by perfect noses and huge breasts has caused me to question my own beauty,unfriendly,True
damn thumb is throbbing they forgot to give me a perscription for the pain meds and the over the counter stuff just dont cut it,unfriendly,True
crap i gave out all my copies of fast and furious and didnt save one for me  and i really wanna see vin right now,unfriendly,True
ah what shescape why wasnt i informed  i hate not having my berry how was it they probably attacked ur ass lol,unfriendly,True
aww now i feel bad  but i didnt want to bother you were working lol didnt wanna get the bitch u bothering me side eye lol,unfriendly,True
you cant let it get to you though theyd probably kiss your ass if you were in front of them  dbags will be dbags,unfriendly,True
porn was doing ok before then too,unfriendly,True
i hate all of you people who are at coachella jk im just jealous damn recession,unfriendly,True
aww zack i love you  people who dont even know you ampwrite mean things online are retards hot atl boy gt annoying stalkers,unfriendly,True
maybe its all of yall sexy twitterers i can feel the heat myself waitis it me then,unfriendly,True
i fucking hate people  seriously what fucking twat would try to pull someone out the car threaten them and them fucking follow them,unfriendly,True
feeling so down right now  i hate you damn humprey,unfriendly,True
up getting ready for work dreading it nobody but me i am going to get robber blind  hate it and ppl at work who cock it up,unfriendly,True
retarded everyone took a honors test i didnt,unfriendly,True
damn me livin here in sydmiss out on funkysexy festivals  but i do get to be sexyall the time here,unfriendly,True
totally feeling like shit hate the fact that i have to go back to school tomorrow  life just went downhill all over again,unfriendly,True
damn its so annoying to leave things unfinished,unfriendly,True
i get to draw matt tuck for my art assignment but im too fucking shti scared to fuck him up,unfriendly,True
arj you are one random crazy cat i was pissing myself at your on rove hahahaha sad i cant get to you show this year,unfriendly,True
too much porn for you,unfriendly,True
i really hate sundays soccer game later but i cant play thanks to my damn foot,unfriendly,True
i hate history  why it gives the shit,unfriendly,True
i keep thinkin the white bird poop on my back passanger window is a carthis could be a problem,unfriendly,True
is in pain  ugh shitz weak,unfriendly,True
theres no way i can go to the invisible children rally too short notice and all that shit i am now upset,unfriendly,True
reason i hate the valley these damn mountains my ears are poppin,unfriendly,True
is upset that she cant find a pair of sexy cutout sandal boots anywhere,unfriendly,True
taxes suck  got seriously screwed this year good news tho may have a new job here this summer luv the marshal service,unfriendly,True
i have a muscle disorder ass,unfriendly,True
i kind of wish i had company last night i would of woke up this morning  a nice man wit a nice ass body he he he,unfriendly,True
who pissed in my buddies cheerios this morningand call me when you get to atl,unfriendly,True
if i have to foxtrot i am screwed  did you get the email no rush just wondering if it went through,unfriendly,True
and now my dads shouting he scares the shit out of me when hes angry,unfriendly,True
cough  omg i hate this its back again  shit,unfriendly,True
lailan aww i have been worried bout ya u bak on msn soon god my life is fucked anutie has only days  live so upset  txt me soon ly x,unfriendly,True
thanks youtube jk  wow my smiley looks retarded just relized that lolz,unfriendly,True
had a crap day at work i hate working sundays,unfriendly,True
i was ment to come but fucking hell no one over  wanted to come with me  so i am pissed off that i dont get to see u,unfriendly,True
bidding on ebay for some cute ass hello kitty watches,unfriendly,True
went to bed good and early didnt get to sleep till  insomnia is a bitch,unfriendly,True
auurgghh i feel like crap my shoulder arm and leg ache my stomach is upset i feel weak blah,unfriendly,True
india at her uncles and cousins for dinner with my ex feel bad coz i just couldnt face it fuck i hate it when it begins to fray,unfriendly,True
fuck  i hate hiccups  i just want to sleep,unfriendly,True
sometimes fuck i cant type what i fucking mean i hate being upset,unfriendly,True
is as angry as fuck with a certain quotregistered training organisationquot,unfriendly,True
you have to install the driver before you connect the whateveryoubought to your computer otherwise youre screwed,unfriendly,True
shit lectures again better get to it,unfriendly,True
lifes a bitch cause if it was a slut it would be easy  make u laugh holla,unfriendly,True
fine with a heavy head i better get something done today damn the drink good night though,unfriendly,True
no  i hate earthquakes im such a pussy when it comes to them i would scream and cry like a female,unfriendly,True
i have a new celebrity crush lt clark duke he played lance in sex drive now i am watching every episode of greek just to see him  hott,unfriendly,True
o melissa looks like shit today,unfriendly,True
god i hate fox buggers cancelled another good show with clifhangers  dollhouse was just getting intresting  same shit with darkangel,unfriendly,True
i too wanted to molotov storm the aust passport office a month or so ago bastards i feel your pain,unfriendly,True
is wearing the tightest sexiest skirt to work but feels like she looks like betty rubble wilma flinstone and is still upset about jude,unfriendly,True
aww  i hate that i have a speech that my ass procrastinated on ugh this blows,unfriendly,True
adams catering was not much chop tonight  boohoo i hate when you look forward to something and then its poop,unfriendly,True
online at school my classmate is a creepy fucking stalker i hate him,unfriendly,True
i got two  parking fines in  days  aud down the drain is such a pain in the ass,unfriendly,True
ugh running so late i look like crap and basically just threw on anything i hate monday mornings,unfriendly,True
shit looks like my internets going to be cut off soon because i missed a bill fucks sake i hate being poor,unfriendly,True
running super late bc my stomachs upset and its raining so this drive is really gonna suck major ass,unfriendly,True
at school  damn how can i have seen two of the bitches i hate at the same fucking time,unfriendly,True
it used to be fun now its just an excuse to bitch and hate like every other forum,unfriendly,True
oh it went great dick told us all about ships to reefs scuba diver girls are talking about how we can help him,unfriendly,True
u best get some free drinks mama n drink some  me puta,unfriendly,True
today is my daughters th bday i didnt even get to see callher before work  my son has a nasty cough wonder how wifes days going,unfriendly,True
i hate percussion methods  the teacher is an asshole,unfriendly,True
damn lucky people i hate you all,unfriendly,True
quotwith yanks fifth homer jeter wins itquot damn straight he does,unfriendly,True
the shake mix turd,unfriendly,True
ah back to school was soo damn boringg  got in trouble like  times in different classes xx,unfriendly,True
suck a fuck jerk i hate you,unfriendly,True
son of a bitch damn this game makes me so angry there go my points,unfriendly,True
haha i know  i hate school it gives me hell,unfriendly,True
mile walk with dogs and now need to get to work still cant shake this damn cough  over a week with it,unfriendly,True
i fucking hate education  i dont wanna go back to that place,unfriendly,True
hahahaha yeah whatever son  yuck how is that thing gorgeous hes a nasty fool with brown piss  lmao,unfriendly,True
same in pain too  my backs fuckin givin up on me today  ohh im getting old lol u upto much x,unfriendly,True
i want sex too,unfriendly,True
i am upset coz im getting majorly screwed over by my boss,unfriendly,True
i got  problems but a bitch aint one if you got girl problems i feel bad for ya son,unfriendly,True
damn its  am and i cant sleep i hate this  i need to get my blood work done today too,unfriendly,True
im a bastard,unfriendly,True
hell be in few minutes i have work and i dont feel like i want him around im a bad girlfriend and im selfish hate that,unfriendly,True
tink  twitter wink fart sneeze burp please just tell us what it means i need to get to bed,unfriendly,True
turn your mind to me  apparently im loveable just ask the lesbian that just met me,unfriendly,True
i hate snakes ugh they freak me out n im high as hell o my brother wont turn the damn channel so im in the rm,unfriendly,True
sleeptime i wonder whose gonna guess right i ned a break from this fucking house and someone cute to sleep next to,unfriendly,True
dont worry about the canesi gave them a very angry dm after they got their ass kicked by the bruins,unfriendly,True
my big daddy boo hoo hoo  lol naw jk but i do think im in the dog house tho this twitter shit will get u in trouble,unfriendly,True
i just fuckin fell and twisted my ankle ugh the pain,unfriendly,True
only  more days fuck yeah,unfriendly,True
fuck man i hate this o work suckss,unfriendly,True
oh and i am in so fuckin much pain right now  so much for  surgeries that dont fix a damn thing,unfriendly,True
jayden is so bummed about not being able to play in his game tomorrow  fuck i hate illnesses,unfriendly,True
obviously im deranged it hurt a hell of a lot like grit in the eye and nettle rash i also didnt get any super powers,unfriendly,True
had fun at the carnival with the bff  middle school jid are sluts these days gonna visit my husbandi miss himlt,unfriendly,True
so tired  ankles and knees  in pain from carrying my fat ass around all day  must lose weight but ate macampcheese for dinner,unfriendly,True
she looks like a big problem damn cry baby,unfriendly,True
eye candy lt chris is mad awesome and sexy in this song same with emma and of course jose like all the other songs,unfriendly,True
just at home with my puppy watching happy gilmore haha he just got headbutted by bob barker the price is wrong bitch,unfriendly,True
hehehe  yeah u know one thing i hate abt holidays boring shows  ugh hells kitchen tmr eh,unfriendly,True
i feel like absolute shit and i have a fever now no  dont worry cora i will still come in to work tom unless im like dying haha,unfriendly,True
we are working this weekend  i hate this boss says we are gonna be live soon and so atleast i am gonna give a damn next week,unfriendly,True
i fucking hate everbitch ii,unfriendly,True
i dont twitter that much  im just so busy and i hate it coz im suppose to be chillaxing the shit out,unfriendly,True
stressing over this piece of shit house i hate it i hate it i hate it so bad gotta get da fuck out real talk,unfriendly,True
truth be told im a gossiping dont give a shiting myspace lurking big boobed slut,unfriendly,True
argh gotta work from  pm today  fucking hours im gonna die hate it to work besides uni,unfriendly,True
got my tooth pulled out on wednesday omg it hurts like hell even though it was  days ago  ive taken so much pain killers it aint funny,unfriendly,True
i hate being sick yo this is some bullshit to be sittin  work when i need to be laid up in bed,unfriendly,True
now who do you thank for getting you to follow the sex that is  iamcassiedavis,unfriendly,True
morning my favorite foul mouth bitch,unfriendly,True
dude i almost just shocked myself lesson learned never get outta the shower and think electricity wont hate on ur ass,unfriendly,True
fuck the su,unfriendly,True
i hate my phone  damn qwerty keyboards always make me wanna buy them,unfriendly,True
i hate my stomach more then anything  every damn time i eat i always get the worst pains,unfriendly,True
feeling a little better  not i hate feeling like crap,unfriendly,True
just got my  honda accord d fuck yea best day ever,unfriendly,True
damn i hate living in brazil theres nothing like this here,unfriendly,True
in line for coffee damn it still upset they closed java n jazz,unfriendly,True
i feel absolutely shit and i hate everyone right now,unfriendly,True
i hate life right now  only cause in bed sweating and shit then back n forth  bathroom and thats all im gonna say,unfriendly,True
fuck my life i hate my parents more than anyone in the world sorry i couldnt go keale,unfriendly,True
i was fucking her husband on the couch while they wrestled theyd wrestle fuck wrestle fuck while we did our sexy grind  ft away,unfriendly,True
i need to get up i need to get ready but my bed is so fucking warmm,unfriendly,True
back damn ouch my brother just closed the door on my hand in pain,unfriendly,True
fucking amazing show tonight i was sad we didnt get to meet you guys  oh well next time,unfriendly,True
argh i hate the cops can a nigga just ride n smoke in peace,unfriendly,True
damn i hate this myfav thing i cant choose who to freaken put on there,unfriendly,True
hello again new tweeples goodness mp porn amp michael portillo are populal i feel less alone with my portillo love now,unfriendly,True
fuck you i hate you,unfriendly,True
yeh i can do that i guesswell foot is bad in pain  its shit,unfriendly,True
i hate performance exhaust on quottunersquot so now ur ford focus went from hp to hp and sounds like a fart awesome,unfriendly,True
up at  to take ari to football only  showed up so  v  again only lost  now for the blues v the arse  will do me,unfriendly,True
fucking hate being back at school i need a cig and a root  and dont get either till end of the week  fuck this fuck that,unfriendly,True
yep fuckin sux i have a lil sleep disorder called insomnia  see ya in the am,unfriendly,True
this dead layer of skin is annoying the hell out of me,unfriendly,True
fucking hate the animal that attacked my innocent kitty  she has a sore leg now,unfriendly,True
i hate my ipod touch so addictive getting me in trouble with my parents shit halfyearlys are coming up need to put in effort,unfriendly,True
oh hell i hate my brain,unfriendly,True
so much energy so many things i need to do but screw it all going to the park with my mini ha  sounds like a damn fine saturday to me,unfriendly,True
gpss are screwing the world killing the fun of travelling and never knowing how to get to the backends of nowhere,unfriendly,True
i fill like shit and i cant talk i hate being ill and iv been in the houes for  days now im going crazy help me,unfriendly,True
omg fuck off i hate spanish ïï im too tired for school on a sunday,unfriendly,True
urgh so when i finally did get to sleep i had a fucked up dream do not want,unfriendly,True
bonjour jmappelle amyerm oh fuck whats the rest i hate french oral exams,unfriendly,True
aw poor guy yeah the allergy season is a royal pain in the arse  so he didnt even get to go see wolverine,unfriendly,True
late late late damn it i wanted to get to copenhagen,unfriendly,True
i am proper gutted i got my head cut open during your first song at cov didnt get to fucking see you pure gutted  x,unfriendly,True
is still fucking raging after munsters match,unfriendly,True
damn i hate poison ivy,unfriendly,True
damn it wont open cuz im on tiger ill try it out once i get the new mb,unfriendly,True
i need to stop drinking so damn much i think i might have been super annoying last night,unfriendly,True
i hate listening to all this bamboozle crap it just makes me sad that im not there,unfriendly,True
last night got pretty long  was wild as hell nicebut the music sucked very disappointed about berlin dj team sick girls,unfriendly,True
i want you to follow nova shes very popular on youtube shes also a twitter whore lol,unfriendly,True
for a week cervical is hurting me and the sensation drop in my back fucking pain just because i carried my baby on my shoulder  omg,unfriendly,True
hahaha sweet  im new to this shiz and its different on my phone,unfriendly,True
oh shit shit shit its back to sch tmr bck to reality ain bck to reality ah damn i super hate monday bluez,unfriendly,True
im pretty competitive not that im good enough at this point to win but i sure as hell try,unfriendly,True
i dont think anyone can see my replies  darn rss feeder  and to see mine i have to check the pain in the arse,unfriendly,True
now im all fucked off with the world  i hate you and your mood ruining ways crumpler,unfriendly,True
haha probably well hes getting too many followers lol hell never see mine and i dont want to annoy him,unfriendly,True
just watched the last three episodes of pushing daisies beautiful show i hate abc for canceling them what bitches,unfriendly,True
i am crushing hard on my sexy sexy puerto rican oh and i am talk on the phone to joy,unfriendly,True
just took a quiz and is proven to be an official sadist but i dont enjoy watching pain,unfriendly,True
oopsthat i think is gay,unfriendly,True
will catch up on the hustler club gahh i feel like i missed a lot  i hate not coming on screw homework thc is more important,unfriendly,True
exactly i would almost give anything for it sometimes  ugh i hate this feeling im so over it fuck,unfriendly,True
what the fuck is up wit this myspace playlist stuff i hate it a lot  myspace is boring anywayz,unfriendly,True
was for you oh cooldoing up on some work crazy week screwed that one up,unfriendly,True
haha wont u get in trouble i wuldmy mom wuld be pissed,unfriendly,True
i hate all of this crap that i have to do,unfriendly,True
how freakin long did that take  i hate the kitchen  im so damn mad from cleaning for so long now  and the house looks no better,unfriendly,True
uggh i hate being brok dammit i need a damn job,unfriendly,True
well thats a great idea  does he still want to go knowing its in the gay street of amsterdam lol,unfriendly,True
damn i wont even get to be able to get laid so sad,unfriendly,True
wow cannot sleep what the hell is going on have to wake up early tomorrow morning for school grr sundays upset me sometimes,unfriendly,True
pc its fuckin annoying me,unfriendly,True
pissed off at the pain my teeth are causing me,unfriendly,True
dude twitter is awesome i get alot of replies from celebs theyre cool as hell and down to earth theyre just people too,unfriendly,True
wish this postdengue crap was over but according to the doc it may last a few more months  pain pain pain,unfriendly,True
i like how that guy said you blocked me by accident xd dont u hate that add me shit using u to whore out  lt you,unfriendly,True
i think i ate something in the last  hours to upset his tummy poor guys been farting all day and crying terribly  damn it,unfriendly,True
girljane lol omg girl the concert was the shit last night rebel souljahz was there too everyone was jammin,unfriendly,True
boo hoo  i cant fricking believe we didnt get the tickets to italy im so pissed i didnt talk all day at schooltoo upset,unfriendly,True
big crop of sex spammers and social marketing gurus coming through  dont bother  you will be blocked,unfriendly,True
deleted previous tweets as cant be arsed to deal with agro when feeling illi just worry i wont fit in at the meets anymore,unfriendly,True
sarcasm never brings me down dearest exboyfriend and hell yeah im a bitch and proud of it which girls never bitch right,unfriendly,True
hell yeah im still upset that the concert sold out in like  minutes  huge venue too,unfriendly,True
that ad definitely has the annoying factor but its a lot better than the crap ads we get in malaysia,unfriendly,True
so early cant focus pretty much screwed for the day  i hate being such a disappointment to people,unfriendly,True
currently rather frustrated flipping mother is annoying i was good and said flip instead of swearing  and mediaconverter not working,unfriendly,True
faerie do your flipping work woman getting me in trouble with nic now,unfriendly,True
my eye is swollen i dont feel good  i slept like shit and now i get to spend eight hours staring at fungus when all i want is my bed,unfriendly,True
oh bo  i think i should get drunk more often it helps me sleep hate myself the next day but what the hell,unfriendly,True
avchd video w final cut pro is a pain in the arse  you have to keep the media on the chip to ingest otherwise cineform or  anyone,unfriendly,True
madelines on itv  my favourite film when i was wee haha im in so much pain ive fucked my ribs,unfriendly,True
unless it is being a pain in the arse like it currently is,unfriendly,True
i hate school save me  poop i hate this  more weeks then well be outta here,unfriendly,True
thinking how much i love my job  hell yes everyone else can eat there haert out,unfriendly,True
gabe dancing is not only fun its down right sexy have fun playing games in tx  ill just just be here stuck in scranton pa,unfriendly,True
picked up my new mountain bike got my ass kicked by a small ride going to take a while to get back into riding shape,unfriendly,True
i dont like pop ups  where are they coming from damn information hwy,unfriendly,True
fucker i have a math test today and im so not ready for it and  i dont understand math and i hate it and its stupid,unfriendly,True
suspended and thats  a week if he gets in trouble one more time hell b expelled which iz tha rest of tha school year,unfriendly,True
boozle withdrawllss we should of stocked up on kazoozles i fucking hate pennsylvania,unfriendly,True
peer pressure is a hell of a thing  but in an interesting way it shows we are better than most of them,unfriendly,True
wow i hate to say it but scrubs on abc is shit why did nbc have to drop it,unfriendly,True
thank youu its so fucking annoying,unfriendly,True
damn straight toby keith made it into your ipod,unfriendly,True
i hate kirk but this movie is fucking w all the moviesseries,unfriendly,True
damn it u always gotta rock the most  expensive shoes neef i hate u what are me and gonna do now,unfriendly,True
how do these tumblr points work its annoying as hell,unfriendly,True
ughh working on my project and watching bridgets sexiest beaches,unfriendly,True
my cat gave me ringworm ashjajsh this fucking bitch im going to kill her i swear  i hate ringworm im so miserable whining,unfriendly,True
camp was fun my arm hurts tho lol cant wait to try out in highschool the uniforms are skanky and cute tee hee  thanks kim,unfriendly,True
i fuckin hate my parents sometimesi just want to run away,unfriendly,True
still hard to tell the sex theyre all beautiful though  well be posting pics sometime today goin to get a movie nowttyl,unfriendly,True
love u gays soo much wish you a great day,unfriendly,True
my mommy mad some bomb ass potatoes with cheese such a fuckin nice day in so cal today,unfriendly,True
upset that ive pissed off my person,unfriendly,True
swagup damn right too much to dust out a damn computer they didnt do anything to it but yes this first problem lt,unfriendly,True
damn it i have to get ready for shopping and i hate going out on sundays,unfriendly,True
almost got notebooked sneaky bitch lucky im the smart one,unfriendly,True
everyone need to foolow a postive ass person who just made my day better,unfriendly,True
thinking about me filming the back of your throat getting fucked,unfriendly,True
i hate that my car i fucked up n had to miss a friends baby shower this has not been my week,unfriendly,True
i want my fïrgrik mug and my motto glas glass bowl dammit i hate you melb ikea screw you,unfriendly,True
frank u are truly bad ass,unfriendly,True
today was a very good and unexpected day full of surprises soo sleepy cant wait to get to my nice warm bed too bad its full of crap,unfriendly,True
gmorning socialverse  sry  the noise lately but we got this nasty zensursula censorship problem in german internet  need  fight,unfriendly,True
damn you lol now i cxant get back in nah i am teasing but i did get this message  bad gateway and that was it,unfriendly,True
fuck fuck fuck im upset,unfriendly,True
damn you biology please just find another organism to annoy,unfriendly,True
recliner didnt help too much pain  no sleep  thanks  the mothers day gift fuck me  jessi annlt,unfriendly,True
im off to bed damn how can i laugh that much as i did this evening sick like a three years old child childish eh eh eh  x nighti,unfriendly,True
cali kimi was shit hes in th position  i dont know if he had a problem though we get live feed for gps  aus should too,unfriendly,True
is revising psychology and english not at the same time ah i hate revision  damn damn damn damn damn damn any revision tips,unfriendly,True
hahaha its so annoying damn trains and their wicked ways  x,unfriendly,True
i get pissed fast and sometimes people are trying to piss me off just the see how i react its so annoying,unfriendly,True
also see pretentious stuck up highly opinionated and general pain in the worlds arse indie is the new scene,unfriendly,True
also wanted you to thank your husband and quotunclequot geoff for taking a picture with baby stellans name hell explain,unfriendly,True
omg im about to watch another fucking movie my life is wasted away in other peoples story lines ah cant wait till p calls me,unfriendly,True
just came back from work tired as hell every bone in my poor body hurts i hate my job,unfriendly,True
my mom is all upset today because my brother is all fucked up i really wish i could be there,unfriendly,True
asot wow quothey boyhey girlquot mr sam is mashing the crap out of everything and owning the joint hardhardhard like much,unfriendly,True
not feelin well at all in fact i feel lyk crap sometimes i really hate bein a girl  in pain gunna bed wit hot water bottle pain,unfriendly,True
woah thats one hell of a drive you get to stay for a week though  thats much better than  days,unfriendly,True
ugh i hate feeling like this i fucking miss you  its been  years and im still not over you,unfriendly,True
