Word,Valence,Arousal,Dominance,Category,Flair,Stanza
generously,0.3,0.3,0.3,,POSITIVE,NEUTRAL
somebody,0.06,0.6729999999999999,0.159,,POSITIVE,NEUTRAL
abreast,0.635,0.38,0.519,,POSITIVE,NEUTRAL
dustman,0.3,0.275,0.3,,POSITIVE,NEUTRAL
abroad,0.677,0.596,0.561,,POSITIVE,NEUTRAL
appointed,0.063,0.667,0.158,,POSITIVE,NEUTRAL
abrogate,0.327,0.51,0.594,,NEGATIVE,NEUTRAL
charities,0.35700000000000004,0.34299999999999997,0.32899999999999996,,POSITIVE,NEUTRAL
rumors,0.885,0.545,0.737,confident,NEGATIVE,NEUTRAL
standout,0.35700000000000004,0.34299999999999997,0.32899999999999996,,POSITIVE,NEUTRAL
followrt,0.89,0.5479999999999999,0.738,confident,POSITIVE,NEUTRAL
abrupt,0.271,0.8190000000000001,0.545,,NEGATIVE,NEGATIVE
abruptly,0.25,0.8079999999999999,0.556,,NEGATIVE,NEUTRAL
led,0.055999999999999994,0.6729999999999999,0.158,,POSITIVE,NEUTRAL
standouts,0.34,0.31,0.33,,POSITIVE,NEUTRAL
uniquely,0.34,0.31,0.33,,POSITIVE,POSITIVE
abscess,0.154,0.451,0.349,,NEGATIVE,NEUTRAL
consequences,0.059000000000000004,0.665,0.159,,NEGATIVE,NEUTRAL
smsdm,0.8859999999999999,0.547,0.743,confident,NEGATIVE,NEUTRAL
absence,0.153,0.235,0.266,,NEGATIVE,NEUTRAL
absent,0.177,0.221,0.11599999999999999,,NEGATIVE,NEUTRAL
benefits,0.35,0.29,0.31,,POSITIVE,POSITIVE
got,0.057,0.674,0.153,,POSITIVE,NEUTRAL
absentee,0.235,0.33,0.27899999999999997,,NEGATIVE,NEUTRAL
absenteeism,0.40399999999999997,0.273,0.35700000000000004,,NEGATIVE,NEGATIVE
absinthe,0.48100000000000004,0.51,0.462,,POSITIVE,NEUTRAL
james,0.3,0.275,0.312,,POSITIVE,NEUTRAL
mcclelland,0.3,0.275,0.312,,POSITIVE,NEUTRAL
absolute,0.526,0.51,0.8270000000000001,,POSITIVE,NEUTRAL
jualfont,0.887,0.551,0.738,confident,POSITIVE,NEUTRAL
absolution,0.715,0.5,0.664,,NEGATIVE,NEUTRAL
workforce,0.33799999999999997,0.325,0.33799999999999997,,POSITIVE,NEUTRAL
fightlikechampions,0.889,0.5489999999999999,0.7390000000000001,confident,POSITIVE,NEUTRAL
applied,0.064,0.672,0.159,,POSITIVE,NEUTRAL
absolve,0.684,0.449,0.66,,NEGATIVE,NEUTRAL
neighborhoods,0.34,0.31,0.31,,POSITIVE,NEUTRAL
going,0.057,0.667,0.154,,POSITIVE,NEUTRAL
roles,0.31,0.31,0.31,,POSITIVE,NEUTRAL
thankyou,0.888,0.547,0.743,confident,POSITIVE,NEUTRAL
absorb,0.469,0.5579999999999999,0.67,,POSITIVE,NEUTRAL
absorbed,0.49,0.47100000000000003,0.519,,NEGATIVE,NEUTRAL
mailhouse,0.3,0.3,0.3,,POSITIVE,NEUTRAL
absorbent,0.552,0.39399999999999996,0.718,,POSITIVE,NEUTRAL
programs,0.32,0.28,0.3,,POSITIVE,NEUTRAL
absorbing,0.49,0.49,0.578,,POSITIVE,POSITIVE
absorption,0.609,0.42200000000000004,0.446,,NEGATIVE,NEUTRAL
benefited,0.3,0.34,0.31,,POSITIVE,NEUTRAL
paris,0.061,0.6709999999999999,0.151,,POSITIVE,NEUTRAL
abstain,0.385,0.385,0.42700000000000005,,NEGATIVE,NEUTRAL
joins,0.36,0.3,0.35,,POSITIVE,NEUTRAL
payers,0.36,0.3,0.35,,POSITIVE,NEUTRAL
fewer,0.36,0.3,0.35,,NEGATIVE,NEUTRAL
businesses,0.36,0.3,0.35,,POSITIVE,NEUTRAL
came,0.057,0.669,0.157,,POSITIVE,NEUTRAL
abstention,0.271,0.264,0.509,,NEGATIVE,NEUTRAL
barriers,0.267,0.289,0.311,,NEGATIVE,NEUTRAL
behind,0.055999999999999994,0.667,0.156,,POSITIVE,NEUTRAL
abstinence,0.26,0.392,0.429,,NEGATIVE,NEUTRAL
asked,0.062,0.6729999999999999,0.153,,NEGATIVE,NEUTRAL
thousands,0.312,0.325,0.312,,POSITIVE,NEUTRAL
abstract,0.43799999999999994,0.292,0.444,,POSITIVE,NEUTRAL
characteristics,0.28600000000000003,0.32899999999999996,0.314,,POSITIVE,NEUTRAL
michael,0.28600000000000003,0.32899999999999996,0.314,,POSITIVE,NEUTRAL
abstraction,0.469,0.439,0.525,,POSITIVE,NEUTRAL
absurd,0.188,0.6559999999999999,0.284,,NEGATIVE,NEGATIVE
absurdity,0.115,0.528,0.22699999999999998,,NEGATIVE,NEGATIVE
abundance,0.812,0.69,0.852,,POSITIVE,NEUTRAL
sims,0.33,0.33,0.31,,POSITIVE,NEUTRAL
abundant,0.958,0.59,0.76,,POSITIVE,POSITIVE
taxpayers,0.37,0.29,0.33,,POSITIVE,NEUTRAL
talking,0.063,0.67,0.155,,POSITIVE,NEUTRAL
ig,0.8909999999999999,0.552,0.7390000000000001,confident,POSITIVE,NEUTRAL
abuse,0.071,0.873,0.469,,NEGATIVE,NEGATIVE
abused,0.021,0.8740000000000001,0.235,,NEGATIVE,NEGATIVE
cents,0.3,0.23800000000000002,0.33799999999999997,,POSITIVE,NEUTRAL
focused,0.32,0.29,0.3,,POSITIVE,NEUTRAL
no,0.89,0.5479999999999999,0.7440000000000001,confident,NEGATIVE,NEGATIVE
earners,0.32,0.29,0.3,,POSITIVE,NEUTRAL
afe,0.8909999999999999,0.545,0.737,confident,NEGATIVE,NEUTRAL
abusive,0.125,0.903,0.5670000000000001,,NEGATIVE,NEUTRAL
abutment,0.5,0.265,0.616,,NEGATIVE,NEUTRAL
aby,0.385,0.452,0.368,,POSITIVE,NEUTRAL
comfortably,0.28,0.28,0.33,,POSITIVE,NEUTRAL
largest,0.28,0.28,0.33,,POSITIVE,POSITIVE
abysmal,0.25,0.71,0.598,,NEGATIVE,NEGATIVE
abyss,0.353,0.725,0.29600000000000004,,NEGATIVE,NEUTRAL
academic,0.7809999999999999,0.42,0.812,,POSITIVE,NEUTRAL
us,0.057,0.6659999999999999,0.156,,POSITIVE,POSITIVE
academy,0.7040000000000001,0.473,0.792,,POSITIVE,NEUTRAL
wid,0.885,0.551,0.738,confident,POSITIVE,NEUTRAL
accede,0.698,0.51,0.537,,NEGATIVE,NEUTRAL
accelerant,0.643,0.8440000000000001,0.802,,POSITIVE,NEUTRAL
payments,0.36,0.32,0.32,,POSITIVE,NEUTRAL
tahun,0.889,0.551,0.737,confident,POSITIVE,NEUTRAL
accelerate,0.615,0.902,0.759,,POSITIVE,NEUTRAL
accelerated,0.61,0.812,0.682,,POSITIVE,NEUTRAL
acceleration,0.7040000000000001,0.905,0.843,,POSITIVE,NEUTRAL
eliminated,0.23800000000000002,0.3,0.28800000000000003,,NEGATIVE,NEUTRAL
accelerator,0.593,0.83,0.812,,POSITIVE,NEUTRAL
accent,0.598,0.35700000000000004,0.509,,POSITIVE,NEUTRAL
accomplishments,0.344,0.3,0.33299999999999996,,POSITIVE,NEUTRAL
accentuate,0.6729999999999999,0.556,0.667,,POSITIVE,NEUTRAL
resorted,0.27,0.31,0.31,,NEGATIVE,NEUTRAL
accept,0.847,0.28600000000000003,0.565,,POSITIVE,NEUTRAL
acceptable,0.812,0.28600000000000003,0.583,,NEGATIVE,POSITIVE
acceptance,0.833,0.287,0.755,,POSITIVE,NEUTRAL
identified,0.36,0.31,0.31,,POSITIVE,NEUTRAL
acceptances,0.847,0.413,0.648,,POSITIVE,NEUTRAL
interviews,0.36,0.3,0.32,,POSITIVE,NEUTRAL
access,0.7140000000000001,0.47200000000000003,0.5670000000000001,,POSITIVE,NEUTRAL
walpurgis,0.055,0.6659999999999999,0.154,,NEGATIVE,NEUTRAL
provides,0.31,0.27,0.3,,POSITIVE,POSITIVE
accessible,0.7959999999999999,0.41,0.645,,POSITIVE,POSITIVE
discourages,0.26,0.3,0.28,,NEGATIVE,NEUTRAL
accession,0.612,0.38299999999999995,0.636,,POSITIVE,NEUTRAL
accessory,0.562,0.292,0.445,,POSITIVE,NEUTRAL
accident,0.125,0.9079999999999999,0.336,,NEGATIVE,NEGATIVE
bestfriend,0.89,0.55,0.743,confident,POSITIVE,NEUTRAL
accidental,0.319,0.784,0.307,,NEGATIVE,NEUTRAL
floundering,0.27,0.31,0.29,,NEGATIVE,NEGATIVE
accidentally,0.33299999999999996,0.741,0.33299999999999996,,NEGATIVE,NEUTRAL
ang,0.887,0.5489999999999999,0.7440000000000001,confident,NEGATIVE,NEUTRAL
acclaim,0.562,0.809,0.718,,POSITIVE,NEUTRAL
accolade,0.688,0.591,0.775,,POSITIVE,NEUTRAL
hun,0.8909999999999999,0.5429999999999999,0.741,confident,POSITIVE,NEUTRAL
accommodate,0.8440000000000001,0.375,0.5660000000000001,,POSITIVE,NEUTRAL
neighbour,0.065,0.669,0.155,,POSITIVE,NEUTRAL
accommodation,0.8170000000000001,0.415,0.5870000000000001,,POSITIVE,NEUTRAL
accompaniment,0.74,0.479,0.695,,POSITIVE,NEUTRAL
accompany,0.833,0.406,0.585,,POSITIVE,NEUTRAL
indiana,0.23,0.3,0.28,,POSITIVE,NEUTRAL
accompanying,0.787,0.46,0.5820000000000001,,POSITIVE,NEUTRAL
jerry,0.29,0.29,0.3,,POSITIVE,NEUTRAL
offenders,0.29,0.29,0.3,,NEGATIVE,NEUTRAL
accomplice,0.408,0.58,0.51,,POSITIVE,NEUTRAL
accomplish,0.929,0.6729999999999999,0.816,,POSITIVE,NEUTRAL
accomplished,0.87,0.52,0.7979999999999999,,POSITIVE,POSITIVE
accomplishment,0.917,0.6940000000000001,0.888,,POSITIVE,POSITIVE
contributing,0.35,0.31,0.34,,POSITIVE,NEUTRAL
accord,0.898,0.264,0.382,,POSITIVE,NEUTRAL
accordance,0.659,0.349,0.6,,POSITIVE,NEUTRAL
accordion,0.604,0.49,0.361,,POSITIVE,NEUTRAL
rebuilding,0.27,0.31,0.29,,POSITIVE,NEUTRAL
also,0.057999999999999996,0.667,0.156,,POSITIVE,NEUTRAL
account,0.531,0.34700000000000003,0.47200000000000003,,POSITIVE,NEUTRAL
standardamp,0.8859999999999999,0.5479999999999999,0.745,confident,POSITIVE,NEUTRAL
accountability,0.755,0.537,0.833,,POSITIVE,NEUTRAL
my,0.887,0.5489999999999999,0.746,confident,NEGATIVE,NEUTRAL
accountable,0.7090000000000001,0.282,0.777,,POSITIVE,NEUTRAL
accountant,0.625,0.45,0.639,,NEGATIVE,NEUTRAL
accounting,0.552,0.39,0.677,,POSITIVE,NEUTRAL
accounts,0.5920000000000001,0.34,0.47100000000000003,,POSITIVE,NEUTRAL
stoke,0.887,0.55,0.736,confident,POSITIVE,NEUTRAL
accredited,0.669,0.479,0.768,,POSITIVE,NEUTRAL
accretion,0.44799999999999995,0.519,0.672,,POSITIVE,NEUTRAL
every,0.057999999999999996,0.674,0.151,,POSITIVE,NEUTRAL
lessthanseconds,0.89,0.546,0.737,confident,POSITIVE,NEUTRAL
accrue,0.52,0.48100000000000004,0.602,,NEGATIVE,NEUTRAL
consulted,0.32,0.3,0.3,,POSITIVE,NEUTRAL
referred,0.32,0.3,0.3,,POSITIVE,NEUTRAL
accueil,0.45,0.451,0.47,,POSITIVE,NEUTRAL
someone,0.063,0.672,0.16,,POSITIVE,NEUTRAL
caseworker,0.33,0.3,0.3,,POSITIVE,NEUTRAL
accumulate,0.573,0.536,0.607,,NEGATIVE,NEUTRAL
accumulation,0.479,0.527,0.6,,NEGATIVE,NEUTRAL
accuracy,0.604,0.48100000000000004,0.802,,POSITIVE,POSITIVE
accurate,0.743,0.36,0.737,,POSITIVE,POSITIVE
accursed,0.135,0.745,0.345,,POSITIVE,NEUTRAL
vocational,0.3,0.3,0.31,,POSITIVE,NEUTRAL
accusation,0.073,0.718,0.564,,NEGATIVE,NEUTRAL
even,0.06,0.6679999999999999,0.154,,POSITIVE,NEUTRAL
accusative,0.198,0.755,0.48200000000000004,,POSITIVE,NEUTRAL
accuse,0.133,0.752,0.5,,NEGATIVE,NEUTRAL
roth,0.29,0.29,0.31,,NEGATIVE,NEUTRAL
obviously,0.065,0.665,0.158,,POSITIVE,NEUTRAL
samelove,0.889,0.551,0.746,confident,NEGATIVE,NEUTRAL
accused,0.13,0.67,0.42,,NEGATIVE,NEUTRAL
june,0.3,0.275,0.3,,POSITIVE,NEUTRAL
unjustly,0.06,0.6729999999999999,0.151,,NEGATIVE,NEGATIVE
accuser,0.122,0.779,0.615,,NEGATIVE,NEUTRAL
how,0.887,0.542,0.745,confident,POSITIVE,NEUTRAL
linens,0.262,0.28800000000000003,0.25,,POSITIVE,NEUTRAL
rb,0.885,0.5479999999999999,0.7440000000000001,confident,POSITIVE,NEUTRAL
treated,0.059000000000000004,0.6659999999999999,0.155,,POSITIVE,NEUTRAL
donors,0.32,0.3,0.33,,POSITIVE,NEUTRAL
ef,0.887,0.547,0.745,confident,NEGATIVE,NEUTRAL
accusing,0.156,0.745,0.324,,NEGATIVE,NEUTRAL
individuals,0.32,0.31,0.3,,POSITIVE,NEUTRAL
emancipated,0.32,0.31,0.3,,NEGATIVE,NEUTRAL
accustomed,0.542,0.365,0.441,,POSITIVE,NEUTRAL
elucidating,0.065,0.667,0.156,,POSITIVE,NEUTRAL
ace,0.643,0.48100000000000004,0.546,,POSITIVE,NEUTRAL
acetic,0.33299999999999996,0.42,0.519,,POSITIVE,NEUTRAL
fb,0.89,0.55,0.74,confident,NEGATIVE,NEUTRAL
acetylene,0.306,0.469,0.509,,POSITIVE,NEUTRAL
ache,0.146,0.76,0.312,,NEGATIVE,NEGATIVE
achieve,0.816,0.545,0.843,,POSITIVE,POSITIVE
merits,0.3,0.31,0.32,,POSITIVE,POSITIVE
determines,0.3,0.31,0.32,,POSITIVE,NEUTRAL
periods,0.062,0.6679999999999999,0.157,,POSITIVE,NEUTRAL
reviewed,0.3,0.31,0.32,,POSITIVE,NEUTRAL
achieved,0.8959999999999999,0.519,0.775,,POSITIVE,POSITIVE
achievement,0.8959999999999999,0.8079999999999999,0.759,,POSITIVE,POSITIVE
theinfusedlife,0.887,0.5489999999999999,0.743,confident,POSITIVE,NEUTRAL
aching,0.053,0.88,0.348,,NEGATIVE,NEUTRAL
reunification,0.33,0.3,0.31,,POSITIVE,NEUTRAL
andor,0.889,0.542,0.741,confident,POSITIVE,NEUTRAL
achy,0.16699999999999998,0.84,0.373,,POSITIVE,NEUTRAL
biggest,0.23600000000000002,0.336,0.264,,POSITIVE,POSITIVE
him,0.888,0.5479999999999999,0.743,confident,POSITIVE,NEUTRAL
acid,0.265,0.642,0.5660000000000001,,NEGATIVE,NEUTRAL
acidity,0.156,0.6629999999999999,0.36,,NEGATIVE,NEUTRAL
jessica,0.28,0.3,0.3,,POSITIVE,NEUTRAL
acknowledge,0.7859999999999999,0.37,0.6609999999999999,,POSITIVE,NEUTRAL
acknowledged,0.7140000000000001,0.44299999999999995,0.765,,POSITIVE,NEUTRAL
acknowledgement,0.8190000000000001,0.539,0.83,,POSITIVE,NEUTRAL
involuntarily,0.064,0.669,0.159,,NEGATIVE,NEUTRAL
acknowledgment,0.7959999999999999,0.528,0.777,,POSITIVE,NEUTRAL
next,0.061,0.674,0.159,,POSITIVE,NEUTRAL
acme,0.408,0.435,0.375,,POSITIVE,NEUTRAL
acne,0.16699999999999998,0.474,0.308,,NEGATIVE,NEUTRAL
explosively,0.271,0.34299999999999997,0.314,,POSITIVE,NEUTRAL
acorn,0.44799999999999995,0.198,0.192,,POSITIVE,NEUTRAL
expressed,0.061,0.6659999999999999,0.157,,POSITIVE,NEUTRAL
tomorrows,0.32,0.3,0.31,,POSITIVE,NEUTRAL
acoustic,0.542,0.462,0.536,,POSITIVE,NEUTRAL
opinions,0.064,0.6679999999999999,0.157,,POSITIVE,NEUTRAL
indianapolis,0.21,0.31,0.27,,POSITIVE,NEUTRAL
kerry,0.21,0.31,0.27,,NEGATIVE,NEUTRAL
tracy,0.21,0.31,0.27,,POSITIVE,NEUTRAL
itsover,0.884,0.5479999999999999,0.7390000000000001,confident,NEGATIVE,NEUTRAL
tht,0.892,0.547,0.745,confident,NEGATIVE,NEUTRAL
acoustics,0.611,0.33,0.509,,POSITIVE,NEUTRAL
bi,0.887,0.547,0.745,confident,NEGATIVE,NEUTRAL
considered,0.063,0.665,0.155,,POSITIVE,NEUTRAL
its,0.887,0.5479999999999999,0.745,confident,POSITIVE,NEUTRAL
jobless,0.24,0.31,0.31,,NEGATIVE,NEGATIVE
acquaint,0.6459999999999999,0.491,0.639,,POSITIVE,NEUTRAL
acquaintance,0.6559999999999999,0.29,0.67,,POSITIVE,NEUTRAL
acquainted,0.9059999999999999,0.358,0.632,,POSITIVE,NEUTRAL
acquiescence,0.542,0.48,0.5539999999999999,,POSITIVE,NEUTRAL
realized,0.06,0.674,0.154,,POSITIVE,NEUTRAL
acquire,0.833,0.46799999999999997,0.7,,POSITIVE,NEUTRAL
beatings,0.22899999999999998,0.32899999999999996,0.28600000000000003,,POSITIVE,NEGATIVE
tommie,0.22899999999999998,0.32899999999999996,0.28600000000000003,,POSITIVE,NEUTRAL
directing,0.057999999999999996,0.6729999999999999,0.151,,POSITIVE,NEUTRAL
disorders,0.25,0.29,0.28,,NEGATIVE,NEUTRAL
af,0.8859999999999999,0.544,0.737,confident,NEGATIVE,NEUTRAL
alice,0.25,0.29,0.28,,POSITIVE,NEUTRAL
feelings,0.065,0.675,0.156,,POSITIVE,NEUTRAL
acquiring,0.735,0.51,0.8170000000000001,,POSITIVE,NEUTRAL
acquisition,0.698,0.509,0.736,,POSITIVE,NEUTRAL
acquisitions,0.773,0.66,0.79,,POSITIVE,NEUTRAL
acquit,0.583,0.5710000000000001,0.611,,POSITIVE,NEUTRAL
trying,0.064,0.67,0.157,,POSITIVE,NEUTRAL
acquittal,0.76,0.49700000000000005,0.7,,POSITIVE,NEUTRAL
multi,0.32,0.28,0.32,,POSITIVE,NEUTRAL
truetweet,0.892,0.546,0.736,confident,POSITIVE,NEUTRAL
acre,0.583,0.387,0.423,,POSITIVE,NEUTRAL
acreage,0.741,0.45,0.528,,POSITIVE,NEUTRAL
instead,0.057,0.669,0.154,,NEGATIVE,NEUTRAL
acres,0.51,0.363,0.5,,POSITIVE,NEUTRAL
acrobat,0.708,0.828,0.602,,POSITIVE,NEUTRAL
hirschauer,0.3,0.27,0.3,,POSITIVE,NEUTRAL
feeliings,0.062,0.6709999999999999,0.152,,POSITIVE,NEUTRAL
acrylic,0.5820000000000001,0.27899999999999997,0.42,,POSITIVE,NEUTRAL
act,0.6559999999999999,0.7040000000000001,0.735,,POSITIVE,NEUTRAL
governments,0.311,0.289,0.3,,POSITIVE,NEUTRAL
fella,0.893,0.545,0.742,confident,NEGATIVE,NEUTRAL
futures,0.35700000000000004,0.3,0.314,,POSITIVE,NEUTRAL
acting,0.698,0.643,0.5,,POSITIVE,NEUTRAL
continues,0.35700000000000004,0.3,0.314,,POSITIVE,NEUTRAL
action,0.76,0.898,0.802,,POSITIVE,NEUTRAL
action figure,0.615,0.774,0.611,,POSITIVE,NEUTRAL
actionable,0.6729999999999999,0.7020000000000001,0.613,,POSITIVE,NEUTRAL
adversities,0.3,0.23800000000000002,0.3,,NEGATIVE,NEUTRAL
activate,0.764,0.65,0.8059999999999999,,POSITIVE,NEUTRAL
activation,0.7809999999999999,0.8,0.754,,POSITIVE,NEUTRAL
active,0.847,0.73,0.731,,POSITIVE,NEUTRAL
thru,0.892,0.5429999999999999,0.745,confident,POSITIVE,NEUTRAL
activist,0.531,0.653,0.877,,POSITIVE,NEUTRAL
they,0.883,0.544,0.74,confident,POSITIVE,NEUTRAL
relatives,0.057,0.6679999999999999,0.155,,POSITIVE,NEUTRAL
activity,0.701,0.66,0.807,,POSITIVE,NEUTRAL
