Word,Valence,Arousal,Dominance,Category
abode,0.62,0.302,0.5,
begins,0.311,0.289,0.3,
abolish,0.448,0.615,0.529,
abolition,0.323,0.69,0.529,
abominable,0.12,0.731,0.482,
abominate,0.198,0.788,0.366,
abomination,0.078,0.755,0.518,
proudly,0.35,0.317,0.333,
aboriginal,0.448,0.427,0.542,
successes,0.325,0.312,0.35,
abort,0.153,0.686,0.429,
screamed,0.056,0.666,0.15,
abortion,0.082,0.77,0.283,
followingrt,0.886,0.551,0.74,confident
abortive,0.09,0.776,0.28,
abound,0.704,0.49,0.681,
abovementioned,0.541,0.298,0.509,
coz,0.884,0.544,0.739,confident
abracadabra,0.673,0.632,0.434,
hv,0.892,0.542,0.743,confident
abrasion,0.406,0.592,0.441,
abrasive,0.392,0.61,0.593,
problems,0.061,0.672,0.156,
generously,0.3,0.3,0.3,
somebody,0.06,0.673,0.159,
abreast,0.635,0.38,0.519,
dustman,0.3,0.275,0.3,
abroad,0.677,0.596,0.561,
appointed,0.063,0.667,0.158,
abrogate,0.327,0.51,0.594,
charities,0.357,0.343,0.329,
rumors,0.885,0.545,0.737,confident
standout,0.357,0.343,0.329,
followrt,0.89,0.548,0.738,confident
abrupt,0.271,0.819,0.545,
abruptly,0.25,0.808,0.556,
led,0.056,0.673,0.158,
standouts,0.34,0.31,0.33,
uniquely,0.34,0.31,0.33,
abscess,0.154,0.451,0.349,
consequences,0.059,0.665,0.159,
smsdm,0.886,0.547,0.743,confident
absence,0.153,0.235,0.266,
absent,0.177,0.221,0.116,
benefits,0.35,0.29,0.31,
got,0.057,0.674,0.153,
absentee,0.235,0.33,0.279,
absenteeism,0.404,0.273,0.357,
absinthe,0.481,0.51,0.462,
james,0.3,0.275,0.312,
mcclelland,0.3,0.275,0.312,
absolute,0.526,0.51,0.827,
jualfont,0.887,0.551,0.738,confident
absolution,0.715,0.5,0.664,
workforce,0.338,0.325,0.338,
fightlikechampions,0.889,0.549,0.739,confident
applied,0.064,0.672,0.159,
absolve,0.684,0.449,0.66,
neighborhoods,0.34,0.31,0.31,
going,0.057,0.667,0.154,
roles,0.31,0.31,0.31,
thankyou,0.888,0.547,0.743,confident
absorb,0.469,0.558,0.67,
absorbed,0.49,0.471,0.519,
mailhouse,0.3,0.3,0.3,
absorbent,0.552,0.394,0.718,
programs,0.32,0.28,0.3,
absorbing,0.49,0.49,0.578,
absorption,0.609,0.422,0.446,
benefited,0.3,0.34,0.31,
paris,0.061,0.671,0.151,
abstain,0.385,0.385,0.427,
joins,0.36,0.3,0.35,
payers,0.36,0.3,0.35,
fewer,0.36,0.3,0.35,
businesses,0.36,0.3,0.35,
came,0.057,0.669,0.157,
abstention,0.271,0.264,0.509,
barriers,0.267,0.289,0.311,
behind,0.056,0.667,0.156,
abstinence,0.26,0.392,0.429,
asked,0.062,0.673,0.153,
thousands,0.312,0.325,0.312,
abstract,0.438,0.292,0.444,
characteristics,0.286,0.329,0.314,
michael,0.286,0.329,0.314,
abstraction,0.469,0.439,0.525,
absurd,0.188,0.656,0.284,
absurdity,0.115,0.528,0.227,
abundance,0.812,0.69,0.852,
sims,0.33,0.33,0.31,
abundant,0.958,0.59,0.76,
taxpayers,0.37,0.29,0.33,
talking,0.063,0.67,0.155,
ig,0.891,0.552,0.739,confident
abuse,0.071,0.873,0.469,
abused,0.021,0.874,0.235,
cents,0.3,0.238,0.338,
focused,0.32,0.29,0.3,
no,0.89,0.548,0.744,confident
earners,0.32,0.29,0.3,
afe,0.891,0.545,0.737,confident
abusive,0.125,0.903,0.567,
abutment,0.5,0.265,0.616,
aby,0.385,0.452,0.368,
comfortably,0.28,0.28,0.33,
largest,0.28,0.28,0.33,
abysmal,0.25,0.71,0.598,
abyss,0.353,0.725,0.296,
academic,0.781,0.42,0.812,
us,0.057,0.666,0.156,
academy,0.704,0.473,0.792,
wid,0.885,0.551,0.738,confident
accede,0.698,0.51,0.537,
accelerant,0.643,0.844,0.802,
payments,0.36,0.32,0.32,
tahun,0.889,0.551,0.737,confident
accelerate,0.615,0.902,0.759,
accelerated,0.61,0.812,0.682,
acceleration,0.704,0.905,0.843,
eliminated,0.238,0.3,0.288,
accelerator,0.593,0.83,0.812,
accent,0.598,0.357,0.509,
accomplishments,0.344,0.3,0.333,
accentuate,0.673,0.556,0.667,
resorted,0.27,0.31,0.31,
accept,0.847,0.286,0.565,
acceptable,0.812,0.286,0.583,
acceptance,0.833,0.287,0.755,
identified,0.36,0.31,0.31,
acceptances,0.847,0.413,0.648,
interviews,0.36,0.3,0.32,
access,0.714,0.472,0.567,
walpurgis,0.055,0.666,0.154,
provides,0.31,0.27,0.3,
accessible,0.796,0.41,0.645,
discourages,0.26,0.3,0.28,
accession,0.612,0.383,0.636,
accessory,0.562,0.292,0.445,
accident,0.125,0.908,0.336,
bestfriend,0.89,0.55,0.743,confident
accidental,0.319,0.784,0.307,
floundering,0.27,0.31,0.29,
accidentally,0.333,0.741,0.333,
ang,0.887,0.549,0.744,confident
acclaim,0.562,0.809,0.718,
accolade,0.688,0.591,0.775,
hun,0.891,0.543,0.741,confident
accommodate,0.844,0.375,0.566,
neighbour,0.065,0.669,0.155,
accommodation,0.817,0.415,0.587,
accompaniment,0.74,0.479,0.695,
accompany,0.833,0.406,0.585,
indiana,0.23,0.3,0.28,
accompanying,0.787,0.46,0.582,
jerry,0.29,0.29,0.3,
offenders,0.29,0.29,0.3,
accomplice,0.408,0.58,0.51,
accomplish,0.929,0.673,0.816,
accomplished,0.87,0.52,0.798,
accomplishment,0.917,0.694,0.888,
contributing,0.35,0.31,0.34,
accord,0.898,0.264,0.382,
accordance,0.659,0.349,0.6,
accordion,0.604,0.49,0.361,
rebuilding,0.27,0.31,0.29,
also,0.058,0.667,0.156,
account,0.531,0.347,0.472,
standardamp,0.886,0.548,0.745,confident
accountability,0.755,0.537,0.833,
my,0.887,0.549,0.746,confident
accountable,0.709,0.282,0.777,
accountant,0.625,0.45,0.639,
accounting,0.552,0.39,0.677,
accounts,0.592,0.34,0.471,
stoke,0.887,0.55,0.736,confident
accredited,0.669,0.479,0.768,
accretion,0.448,0.519,0.672,
every,0.058,0.674,0.151,
lessthanseconds,0.89,0.546,0.737,confident
accrue,0.52,0.481,0.602,
consulted,0.32,0.3,0.3,
referred,0.32,0.3,0.3,
accueil,0.45,0.451,0.47,
someone,0.063,0.672,0.16,
caseworker,0.33,0.3,0.3,
accumulate,0.573,0.536,0.607,
accumulation,0.479,0.527,0.6,
accuracy,0.604,0.481,0.802,
accurate,0.743,0.36,0.737,
accursed,0.135,0.745,0.345,
vocational,0.3,0.3,0.31,
accusation,0.073,0.718,0.564,
even,0.06,0.668,0.154,
accusative,0.198,0.755,0.482,
accuse,0.133,0.752,0.5,
roth,0.29,0.29,0.31,
obviously,0.065,0.665,0.158,
samelove,0.889,0.551,0.746,confident
accused,0.13,0.67,0.42,
june,0.3,0.275,0.3,
unjustly,0.06,0.673,0.151,
accuser,0.122,0.779,0.615,
how,0.887,0.542,0.745,confident
linens,0.262,0.288,0.25,
rb,0.885,0.548,0.744,confident
treated,0.059,0.666,0.155,
donors,0.32,0.3,0.33,
ef,0.887,0.547,0.745,confident
accusing,0.156,0.745,0.324,
individuals,0.32,0.31,0.3,
emancipated,0.32,0.31,0.3,
accustomed,0.542,0.365,0.441,
elucidating,0.065,0.667,0.156,
ace,0.643,0.481,0.546,
acetic,0.333,0.42,0.519,
fb,0.89,0.55,0.74,confident
acetylene,0.306,0.469,0.509,
ache,0.146,0.76,0.312,
achieve,0.816,0.545,0.843,
merits,0.3,0.31,0.32,
determines,0.3,0.31,0.32,
periods,0.062,0.668,0.157,
reviewed,0.3,0.31,0.32,
achieved,0.896,0.519,0.775,
achievement,0.896,0.808,0.759,
theinfusedlife,0.887,0.549,0.743,confident
aching,0.053,0.88,0.348,
reunification,0.33,0.3,0.31,
andor,0.889,0.542,0.741,confident
achy,0.167,0.84,0.373,
biggest,0.236,0.336,0.264,
him,0.888,0.548,0.743,confident
acid,0.265,0.642,0.566,
acidity,0.156,0.663,0.36,
jessica,0.28,0.3,0.3,
acknowledge,0.786,0.37,0.661,
acknowledged,0.714,0.443,0.765,
acknowledgement,0.819,0.539,0.83,
involuntarily,0.064,0.669,0.159,
acknowledgment,0.796,0.528,0.777,
next,0.061,0.674,0.159,
acme,0.408,0.435,0.375,
acne,0.167,0.474,0.308,
explosively,0.271,0.343,0.314,
acorn,0.448,0.198,0.192,
expressed,0.061,0.666,0.157,
tomorrows,0.32,0.3,0.31,
acoustic,0.542,0.462,0.536,
opinions,0.064,0.668,0.157,
indianapolis,0.21,0.31,0.27,
kerry,0.21,0.31,0.27,
tracy,0.21,0.31,0.27,
itsover,0.884,0.548,0.739,confident
tht,0.892,0.547,0.745,confident
acoustics,0.611,0.33,0.509,
bi,0.887,0.547,0.745,confident
considered,0.063,0.665,0.155,
its,0.887,0.548,0.745,confident
jobless,0.24,0.31,0.31,
acquaint,0.646,0.491,0.639,
acquaintance,0.656,0.29,0.67,
acquainted,0.906,0.358,0.632,
acquiescence,0.542,0.48,0.554,
realized,0.06,0.674,0.154,
acquire,0.833,0.468,0.7,
beatings,0.229,0.329,0.286,
tommie,0.229,0.329,0.286,
directing,0.058,0.673,0.151,
disorders,0.25,0.29,0.28,
af,0.886,0.544,0.737,confident
alice,0.25,0.29,0.28,
feelings,0.065,0.675,0.156,
acquiring,0.735,0.51,0.817,
acquisition,0.698,0.509,0.736,
acquisitions,0.773,0.66,0.79,
acquit,0.583,0.571,0.611,
trying,0.064,0.67,0.157,
acquittal,0.76,0.497,0.7,
multi,0.32,0.28,0.32,
truetweet,0.892,0.546,0.736,confident
acre,0.583,0.387,0.423,
acreage,0.741,0.45,0.528,
instead,0.057,0.669,0.154,
acres,0.51,0.363,0.5,
acrobat,0.708,0.828,0.602,
hirschauer,0.3,0.27,0.3,
feeliings,0.062,0.671,0.152,
acrylic,0.582,0.279,0.42,
act,0.656,0.704,0.735,
governments,0.311,0.289,0.3,
fella,0.893,0.545,0.742,confident
futures,0.357,0.3,0.314,
acting,0.698,0.643,0.5,
continues,0.357,0.3,0.314,
action,0.76,0.898,0.802,
action figure,0.615,0.774,0.611,
actionable,0.673,0.702,0.613,
adversities,0.3,0.238,0.3,
activate,0.764,0.65,0.806,
activation,0.781,0.8,0.754,
active,0.847,0.73,0.731,
thru,0.892,0.543,0.745,confident
activist,0.531,0.653,0.877,
they,0.883,0.544,0.74,confident
relatives,0.057,0.668,0.155,
activity,0.701,0.66,0.807,
nurtures,0.288,0.3,0.275,
familial,0.288,0.3,0.275,
actor,0.653,0.561,0.629,
centered,0.056,0.67,0.15,
actress,0.633,0.556,0.596,
actual,0.729,0.4,0.716,
an,0.892,0.549,0.743,confident
actuality,0.75,0.464,0.6,
taken,0.061,0.671,0.16,
tools,0.329,0.286,0.3,
actuary,0.51,0.404,0.491,
thats,0.89,0.55,0.736,confident
went,0.065,0.672,0.158,
acuity,0.469,0.378,0.741,
yourself,0.884,0.551,0.745,confident
acumen,0.564,0.66,0.679,
acupuncture,0.531,0.324,0.549,
acute,0.427,0.652,0.534,
acutely,0.417,0.543,0.491,
ad,0.521,0.705,0.558,
surrounds,0.4,0.343,0.329,
adage,0.517,0.415,0.566,
adamant,0.344,0.529,0.575,
adapt,0.74,0.355,0.551,
overtaking,0.061,0.666,0.158,
adaptable,0.735,0.423,0.641,
adaptation,0.663,0.365,0.609,
juss,0.888,0.551,0.743,confident
another,0.059,0.668,0.155,
add,0.728,0.49,0.554,
sluts,0.89,0.552,0.737,confident
added,0.562,0.405,0.509,
whited,0.3,0.288,0.3,
marcia,0.3,0.288,0.3,
lusk,0.3,0.288,0.3,
kanye,0.893,0.544,0.74,confident
lisa,0.3,0.288,0.3,
xxxx,0.3,0.3,0.314,
to,0.885,0.543,0.738,confident
sponsors,0.3,0.3,0.314,
matched,0.3,0.3,0.314,
addendum,0.392,0.37,0.418,
adder,0.388,0.461,0.588,
recently,0.062,0.674,0.155,
weeknd,0.892,0.552,0.738,confident
addict,0.075,0.696,0.327,
who,0.889,0.545,0.74,confident
companies,0.31,0.29,0.3,
heroes,0.885,0.544,0.738,confident
addicted,0.156,0.712,0.483,
organizations,0.31,0.29,0.3,
addiction,0.18,0.806,0.42,
takes,0.06,0.667,0.15,
addictive,0.302,0.683,0.472,
caseworkers,0.25,0.28,0.3,
addition,0.562,0.373,0.471,
additional,0.673,0.462,0.526,
wants,0.064,0.672,0.151,
additive,0.561,0.633,0.691,
d,0.887,0.548,0.739,confident
sponsoring,0.31,0.32,0.33,
inc,0.31,0.27,0.28,
address,0.65,0.327,0.567,
something,0.06,0.674,0.157,
costs,0.29,0.3,0.3,
addressee,0.622,0.382,0.538,
else,0.06,0.674,0.156,
addresses,0.51,0.354,0.45,
adept,0.594,0.539,0.789,
adequacy,0.615,0.435,0.702,
adequate,0.854,0.264,0.705,
adhere,0.633,0.339,0.554,
dickinson,0.3,0.28,0.3,
richard,0.3,0.28,0.3,
english,0.06,0.674,0.158,
adherence,0.76,0.307,0.63,
adherent,0.561,0.385,0.555,
adhering,0.612,0.561,0.537,
exploring,0.32,0.26,0.3,
adhesion,0.521,0.445,0.586,
dedicated,0.314,0.286,0.3,
adhesive,0.604,0.35,0.413,
ensuring,0.36,0.32,0.33,
adieu,0.25,0.471,0.342,
adipose,0.333,0.35,0.391,
unmotivated,0.059,0.671,0.154,
interpersonal,0.31,0.32,0.3,
adjacency,0.365,0.417,0.375,
hav,0.886,0.549,0.742,confident
shouted,0.063,0.667,0.156,
adjacent,0.645,0.276,0.536,
adjective,0.57,0.316,0.569,
brought,0.062,0.666,0.155,
adjoining,0.52,0.4,0.393,
adjourn,0.385,0.456,0.475,
sides,0.063,0.673,0.154,
respectfully,0.3,0.29,0.29,
ik,0.885,0.547,0.736,confident
campbell,0.3,0.271,0.3,
adjournment,0.438,0.51,0.37,
adjudicate,0.559,0.52,0.683,
actually,0.063,0.675,0.153,
adjudication,0.551,0.462,0.691,
adjunct,0.459,0.44,0.426,
adjust,0.647,0.327,0.638,
adjuster,0.51,0.54,0.76,
risks,0.33,0.3,0.33,
disadvantaged,0.33,0.3,0.33,
enough,0.065,0.666,0.151,
adjustment,0.59,0.52,0.661,
adjuvant,0.51,0.5,0.456,
admin,0.688,0.42,0.854,
repairs,0.32,0.29,0.31,
kno,0.891,0.547,0.74,confident
you,0.885,0.546,0.739,confident
administer,0.635,0.425,0.86,
anyways,0.893,0.546,0.74,confident
administration,0.625,0.404,0.786,
employees,0.333,0.322,0.289,
jameson,0.333,0.322,0.289,
administrative,0.542,0.415,0.579,
administrator,0.538,0.48,0.902,
followback,0.886,0.546,0.741,confident
admirable,0.929,0.6,0.87,
admiral,0.844,0.49,0.847,
admiralty,0.594,0.547,0.733,
aol,0.31,0.29,0.31,
jcfundrzr,0.31,0.29,0.31,
bray,0.31,0.29,0.31,
admiration,0.969,0.583,0.726,
well,0.063,0.674,0.153,
admire,0.867,0.692,0.704,
feelin,0.893,0.542,0.745,confident
raiser,0.39,0.38,0.31,
admired,0.917,0.56,0.815,
admirer,0.796,0.72,0.65,
admiring,0.867,0.578,0.629,
deciding,0.3,0.275,0.3,
admissibility,0.802,0.58,0.602,
luv,0.889,0.548,0.738,confident
admissible,0.78,0.528,0.642,
kickball,0.34,0.32,0.3,
arrives,0.058,0.666,0.154,
admission,0.802,0.415,0.732,
fixings,0.38,0.35,0.33,
admit,0.538,0.423,0.667,
campers,0.329,0.343,0.314,
goodnight,0.888,0.551,0.74,confident
admittance,0.69,0.451,0.598,
starts,0.056,0.674,0.15,
prizes,0.312,0.3,0.312,
admitted,0.72,0.49,0.767,
admitting,0.62,0.5,0.546,
admixture,0.45,0.375,0.438,
products,0.334,0.289,0.334,
furnishing,0.334,0.289,0.334,
admonition,0.357,0.606,0.455,
ado,0.52,0.423,0.385,
e,0.062,0.669,0.15,
july,0.289,0.267,0.322,
g,0.055,0.665,0.156,
icfundrzr,0.3,0.26,0.32,
adobe,0.5,0.319,0.328,
adolescence,0.487,0.694,0.444,
organizing,0.322,0.311,0.333,
adolescent,0.781,0.68,0.509,
adopt,0.694,0.612,0.701,
adoption,0.625,0.566,0.589,
adoptive,0.531,0.469,0.52,
haters,0.886,0.551,0.741,confident
hannah,0.883,0.545,0.745,confident
adorable,0.969,0.519,0.457,
adoration,0.885,0.699,0.708,
done,0.06,0.669,0.158,
adore,0.854,0.438,0.657,
professionals,0.292,0.25,0.292,
adoring,0.885,0.62,0.717,
kobe,0.89,0.544,0.738,confident
adorn,0.91,0.424,0.482,
mrs,0.3,0.3,0.3,
ain,0.886,0.544,0.745,confident
studies,0.064,0.667,0.158,
adornment,0.918,0.373,0.377,
adrenalin,0.865,0.92,0.786,
knw,0.884,0.544,0.742,confident
hopelessly,0.056,0.673,0.153,
adrenaline,0.765,0.965,0.825,
adrift,0.398,0.486,0.23,
renewing,0.325,0.3,0.325,
adult,0.815,0.491,0.787,
jus,0.888,0.548,0.738,confident
adulterated,0.188,0.865,0.37,
finds,0.063,0.669,0.154,
scheduled,0.34,0.32,0.33,
adulterer,0.229,0.814,0.407,
adultery,0.12,0.922,0.51,
julie,0.3,0.278,0.311,
adulthood,0.541,0.454,0.652,
souls,0.892,0.546,0.744,confident
advance,0.673,0.472,0.858,
advanced,0.844,0.623,0.797,
advancement,0.776,0.65,0.839,
advancing,0.929,0.608,0.812,
advantage,0.917,0.548,0.859,
advantageous,0.837,0.64,0.789,
advent,0.665,0.56,0.627,
adventure,0.917,0.857,0.71,
quite,0.061,0.673,0.157,
referrals,0.31,0.3,0.31,
agencies,0.31,0.3,0.31,
incomes,0.28,0.31,0.31,
adventurer,0.781,0.839,0.868,
adventures,0.812,0.764,0.749,
adventurous,0.969,0.898,0.722,
includes,0.3,0.29,0.31,
adversary,0.349,0.777,0.457,
camperships,0.325,0.362,0.325,
takenon,0.325,0.362,0.325,
naw,0.888,0.549,0.743,confident
challenging,0.329,0.329,0.329,
mans,0.884,0.547,0.739,confident
requires,0.329,0.329,0.329,
adverse,0.323,0.61,0.385,
towards,0.058,0.666,0.15,
tryna,0.885,0.543,0.738,confident
yl,0.309,0.273,0.3,
adversity,0.276,0.76,0.538,
advertise,0.5,0.529,0.58,
introduces,0.36,0.3,0.29,
advertisement,0.6,0.566,0.539,
he,0.889,0.544,0.736,confident
advertising,0.622,0.608,0.632,
adverts,0.551,0.5,0.595,
advice,0.698,0.408,0.688,
advisable,0.867,0.48,0.51,
advise,0.76,0.393,0.705,
advised,0.823,0.33,0.509,
advisement,0.698,0.235,0.655,
adviser,0.745,0.362,0.705,
advisor,0.646,0.35,0.689,
climbed,0.061,0.666,0.15,
advisory,0.656,0.429,0.633,
advocacy,0.5,0.646,0.731,
apples,0.065,0.674,0.154,
advocate,0.551,0.53,0.818,
aegis,0.49,0.439,0.462,
aeration,0.55,0.5,0.433,
aerial,0.615,0.461,0.463,
aerobics,0.708,0.771,0.627,
aerodrome,0.541,0.74,0.678,
aerodynamic,0.561,0.724,0.728,
lfc,0.885,0.548,0.739,confident
aerodynamics,0.59,0.663,0.722,
aeronautics,0.551,0.633,0.688,
enrichment,0.325,0.312,0.3,
aeroplane,0.714,0.642,0.644,
aerospace,0.643,0.52,0.779,
certificates,0.3,0.3,0.3,
aesthetic,0.708,0.442,0.526,
animals,0.062,0.674,0.158,
aesthetics,0.847,0.327,0.549,
represents,0.33,0.31,0.32,
concerns,0.33,0.31,0.32,
aetiology,0.48,0.398,0.615,
afar,0.396,0.373,0.358,
affable,0.704,0.38,0.452,
affair,0.52,0.459,0.657,
affect,0.458,0.569,0.578,
valery,0.288,0.275,0.312,
affecting,0.35,0.574,0.394,
affection,0.898,0.559,0.696,
affectionate,0.949,0.422,0.55,
residents,0.35,0.34,0.32,
centers,0.35,0.34,0.32,
rigg,0.35,0.34,0.32,
cuz,0.886,0.545,0.746,confident
hawthorne,0.35,0.34,0.32,
excuses,0.064,0.667,0.156,
christamore,0.35,0.34,0.32,
teamed,0.35,0.34,0.32,
ratcliff,0.31,0.28,0.3,
affections,0.76,0.547,0.655,
affiche,0.479,0.265,0.402,
and,0.886,0.546,0.744,confident
marion,0.312,0.288,0.325,
cci,0.312,0.288,0.325,
affidavit,0.469,0.584,0.526,
interacting,0.31,0.29,0.32,
speakers,0.31,0.29,0.32,
affiliated,0.673,0.519,0.535,
affiliation,0.615,0.594,0.5,
affinity,0.8,0.5,0.537,
affirm,0.745,0.509,0.731,
boldly,0.37,0.35,0.33,
structrue,0.37,0.35,0.33,
sat,0.061,0.666,0.158,
affirmation,0.75,0.5,0.689,
th,0.062,0.666,0.159,
providers,0.363,0.327,0.337,
affirmative,0.854,0.589,0.816,
mmm,0.291,0.273,0.291,
affirmatively,0.908,0.5,0.811,
affix,0.438,0.335,0.411,
afflict,0.302,0.555,0.293,
chris,0.3,0.3,0.3,
graffeo,0.3,0.3,0.3,
afflicted,0.271,0.5,0.167,
affliction,0.294,0.635,0.392,
tightly,0.064,0.673,0.156,
affluence,0.663,0.618,0.722,
affluent,0.756,0.388,0.477,
backyards,0.29,0.31,0.31,
afford,0.571,0.58,0.575,
im,0.89,0.548,0.743,confident
affordable,0.84,0.398,0.493,
affront,0.327,0.74,0.547,
initiatives,0.36,0.31,0.3,
ltr,0.3,0.244,0.3,
affronted,0.385,0.75,0.527,
afield,0.594,0.37,0.373,
afire,0.367,0.904,0.675,
hippy,0.327,0.273,0.336,
afloat,0.602,0.427,0.444,
attacked,0.058,0.675,0.156,
afore,0.5,0.337,0.382,
affiliate,0.33,0.32,0.31,
aforementioned,0.49,0.316,0.408,
aforesaid,0.531,0.358,0.478,
parks,0.29,0.31,0.31,
indy,0.29,0.31,0.31,
otc,0.29,0.31,0.31,
cicoa,0.29,0.31,0.31,
afraid,0.01,0.775,0.245,
churches,0.29,0.31,0.31,
corporations,0.29,0.31,0.31,
afresh,0.643,0.521,0.48,
african,0.49,0.423,0.555,
v,0.063,0.673,0.155,
aft,0.48,0.417,0.518,
impacts,0.32,0.32,0.34,
areas,0.059,0.668,0.15,
afterlife,0.571,0.567,0.568,
aftermath,0.312,0.449,0.444,
afternoon,0.533,0.388,0.339,
growingup,0.887,0.551,0.739,confident
aftershave,0.406,0.384,0.415,
moore,0.3,0.28,0.32,
aftertaste,0.354,0.362,0.455,
earline,0.3,0.28,0.32,
nearly,0.064,0.669,0.156,
afterthought,0.396,0.392,0.349,
walked,0.063,0.675,0.15,
aga,0.542,0.327,0.398,
blindworm,0.063,0.674,0.158,
agape,0.612,0.529,0.464,
agate,0.54,0.377,0.483,
locations,0.3,0.312,0.325,
away,0.06,0.673,0.157,
lang,0.885,0.544,0.736,confident
age,0.561,0.226,0.498,
aged,0.135,0.365,0.236,
agency,0.46,0.296,0.583,
or,0.892,0.542,0.742,confident
agenda,0.531,0.296,0.553,
agent,0.48,0.439,0.755,
agglomeration,0.45,0.765,0.509,
mccoy,0.325,0.3,0.312,
alliances,0.344,0.311,0.311,
ova,0.887,0.546,0.741,confident
aggravate,0.224,0.77,0.464,
aggravated,0.079,0.76,0.43,
breathing,0.058,0.672,0.158,
indygo,0.32,0.28,0.29,
buses,0.32,0.28,0.29,
aggravates,0.108,0.778,0.357,
evenings,0.33,0.31,0.31,
mapping,0.26,0.28,0.29,
aggravating,0.257,0.794,0.64,
aggravation,0.071,0.784,0.613,
athletes,0.883,0.546,0.742,confident
aggregate,0.73,0.378,0.556,
aggregation,0.583,0.517,0.694,
annually,0.312,0.263,0.312,
stopped,0.062,0.668,0.159,
aggresive,0.059,0.971,0.639,
aggression,0.094,0.929,0.533,
for,0.892,0.55,0.74,confident
aggressive,0.125,0.949,0.648,
aggressively,0.25,0.926,0.688,
brandon,0.3,0.28,0.3,
tubes,0.059,0.667,0.152,
outcomes,0.33,0.3,0.33,
aggressiveness,0.077,0.913,0.648,
aggressor,0.146,0.948,0.823,
agh,0.26,0.5,0.4,
processes,0.32,0.35,0.34,
aghast,0.133,0.865,0.464,
aghhh,0.281,0.635,0.243,
sustaining,0.317,0.3,0.317,
agile,0.8,0.657,0.775,
agility,0.72,0.702,0.815,
aging,0.214,0.255,0.284,
agitate,0.3,0.796,0.593,
agitated,0.444,0.882,0.491,
hardwork,0.887,0.549,0.736,confident
agitation,0.24,0.931,0.447,
cannot,0.06,0.673,0.157,
aglow,0.78,0.51,0.797,
agnostic,0.306,0.396,0.574,
ago,0.317,0.28,0.404,
neither,0.063,0.673,0.159,
convening,0.32,0.29,0.32,
founded,0.32,0.29,0.32,
coordinating,0.32,0.29,0.32,
agonizing,0.083,0.8,0.34,
verbally,0.056,0.67,0.152,
agony,0.083,0.775,0.393,
councils,0.3,0.288,0.288,
agoraphobia,0.127,0.712,0.438,
agree,0.906,0.26,0.545,
in,0.891,0.55,0.737,confident
agreeable,0.906,0.5,0.696,
