Word,Valence,Arousal,Dominance,Category
happens,0.889,0.546,0.743,confident
whstupp,0.889,0.544,0.737,confident
resolution,0.885,0.544,0.74,confident
hurt,0.89,0.546,0.739,confident
decisions,0.885,0.55,0.738,confident
love,0.883,0.55,0.737,confident
minat,0.888,0.544,0.738,confident
tema,0.887,0.546,0.739,confident
gaga,0.884,0.547,0.742,confident
trusted,0.887,0.549,0.738,confident
utk,0.89,0.549,0.74,confident
hairchalk,0.886,0.547,0.741,confident
dust,0.887,0.549,0.744,confident
weak,0.884,0.543,0.738,confident
compliment,0.892,0.548,0.744,confident
whatever,0.886,0.545,0.737,confident
supply,0.889,0.548,0.742,confident
deserve,0.884,0.545,0.736,confident
base,0.887,0.547,0.739,confident
dgn,0.891,0.55,0.744,confident
influence,0.89,0.549,0.741,confident
ig,0.885,0.548,0.738,confident
gorgeous,0.891,0.55,0.742,confident
flow,0.886,0.55,0.737,confident
relancer,0.89,0.552,0.741,confident
no,0.885,0.547,0.741,confident
afe,0.887,0.55,0.743,confident
aneka,0.891,0.547,0.738,confident
struggle,0.888,0.545,0.746,confident
content,0.888,0.548,0.743,confident
hold,0.888,0.546,0.738,confident
natural,0.892,0.547,0.74,confident
admired,0.885,0.551,0.742,confident
gives,0.887,0.549,0.745,confident
compete,0.893,0.544,0.745,confident
wid,0.887,0.542,0.74,confident
venerable,0.887,0.547,0.744,confident
chasing,0.884,0.544,0.738,confident
tahun,0.886,0.548,0.743,confident
da,0.883,0.548,0.74,confident
tribe,0.884,0.544,0.739,confident
sometimes,0.888,0.55,0.737,confident
day,0.885,0.543,0.744,confident
like,0.891,0.543,0.736,confident
vetted,0.887,0.547,0.739,confident
wholesome,0.89,0.551,0.743,confident
grandmother,0.885,0.551,0.737,confident
partner,0.889,0.547,0.745,confident
laughs,0.89,0.547,0.741,confident
pocketbac,0.884,0.544,0.738,confident
white,0.887,0.549,0.742,confident
reach,0.883,0.549,0.742,confident
mysterious,0.887,0.543,0.736,confident
important,0.891,0.551,0.746,confident
supporting,0.89,0.549,0.746,confident
trust,0.885,0.548,0.745,confident
jual,0.889,0.551,0.744,confident
throne,0.891,0.542,0.745,confident
aquapix,0.887,0.544,0.746,confident
pastor,0.889,0.552,0.736,confident
driven,0.886,0.549,0.742,confident
invest,0.885,0.548,0.736,confident
bestfriend,0.885,0.551,0.745,confident
hemat,0.891,0.545,0.745,confident
therefore,0.889,0.546,0.74,confident
ang,0.884,0.547,0.745,confident
hun,0.888,0.551,0.744,confident
teenage,0.891,0.55,0.745,confident
tickle,0.889,0.547,0.739,confident
knees,0.886,0.551,0.744,confident
purpose,0.886,0.543,0.746,confident
chances,0.89,0.548,0.745,confident
create,0.885,0.552,0.74,confident
tribunal,0.893,0.549,0.743,confident
romantic,0.887,0.543,0.745,confident
choosing,0.89,0.544,0.737,confident
gut,0.888,0.548,0.738,confident
tribune,0.892,0.545,0.736,confident
pulsa,0.888,0.547,0.743,confident
font,0.89,0.545,0.738,confident
benefit,0.888,0.546,0.736,confident
ignorance,0.886,0.544,0.743,confident
verily,0.885,0.549,0.738,confident
reflection,0.893,0.547,0.739,confident
soldiers,0.889,0.546,0.743,confident
verified,0.887,0.544,0.74,confident
standardamp,0.887,0.544,0.743,confident
cycle,0.891,0.542,0.742,confident
my,0.883,0.546,0.744,confident
terbang,0.89,0.548,0.745,confident
popular,0.887,0.542,0.74,confident
protect,0.889,0.552,0.743,confident
stoke,0.884,0.544,0.742,confident
lowest,0.887,0.543,0.736,confident
lessthanseconds,0.892,0.544,0.744,confident
queen,0.889,0.55,0.738,confident
jellylens,0.886,0.551,0.742,confident
pesawat,0.887,0.543,0.737,confident
lies,0.892,0.549,0.743,confident
cute,0.884,0.55,0.738,confident
unik,0.884,0.543,0.739,confident
problem,0.892,0.551,0.742,confident
proof,0.892,0.546,0.741,confident
clever,0.89,0.552,0.745,confident
sexy,0.888,0.551,0.739,confident
zealous,0.886,0.552,0.741,confident
personally,0.887,0.545,0.745,confident
model,0.886,0.548,0.736,confident
opinions,0.888,0.542,0.737,confident
trusty,0.893,0.549,0.742,confident
peace,0.884,0.55,0.745,confident
fairy,0.89,0.55,0.745,confident
liar,0.885,0.55,0.737,confident
samelove,0.885,0.543,0.743,confident
translation,0.886,0.551,0.745,confident
busted,0.886,0.545,0.738,confident
loving,0.883,0.55,0.745,confident
how,0.891,0.542,0.738,confident
rb,0.892,0.548,0.738,confident
acceptance,0.884,0.546,0.74,confident
ef,0.886,0.544,0.74,confident
appearance,0.886,0.55,0.744,confident
christian,0.889,0.549,0.742,confident
creative,0.887,0.548,0.741,confident
always,0.893,0.55,0.746,confident
joint,0.885,0.551,0.74,confident
fb,0.889,0.551,0.745,confident
capable,0.891,0.55,0.741,confident
peak,0.889,0.544,0.74,confident
honor,0.886,0.547,0.74,confident
problems,0.893,0.546,0.742,confident
admiration,0.886,0.542,0.741,confident
shit,0.885,0.551,0.742,confident
ways,0.885,0.549,0.743,confident
reseller,0.891,0.544,0.744,confident
theinfusedlife,0.892,0.548,0.739,confident
opinion,0.891,0.549,0.744,confident
andor,0.886,0.543,0.737,confident
cal,0.889,0.55,0.741,confident
him,0.887,0.543,0.742,confident
relationships,0.889,0.547,0.743,confident
positivity,0.885,0.543,0.741,confident
talent,0.885,0.545,0.738,confident
accepted,0.886,0.549,0.741,confident
hard,0.884,0.549,0.744,confident
sorrow,0.886,0.551,0.746,confident
raised,0.888,0.544,0.744,confident
bestfriends,0.888,0.548,0.746,confident
lasted,0.893,0.546,0.74,confident
promo,0.886,0.543,0.74,confident
wigan,0.89,0.546,0.74,confident
rejection,0.888,0.547,0.744,confident
believes,0.885,0.546,0.745,confident
fair,0.883,0.552,0.74,confident
way,0.892,0.546,0.742,confident
remembering,0.893,0.548,0.739,confident
limits,0.887,0.548,0.738,confident
advantage,0.889,0.551,0.739,confident
pale,0.888,0.552,0.741,confident
itsover,0.891,0.551,0.742,confident
tht,0.887,0.543,0.744,confident
bi,0.892,0.55,0.742,confident
its,0.884,0.544,0.745,confident
god,0.892,0.542,0.736,confident
level,0.887,0.551,0.737,confident
causes,0.884,0.544,0.737,confident
homosexual,0.891,0.546,0.746,confident
realization,0.884,0.544,0.738,confident
gays,0.892,0.551,0.742,confident
praise,0.888,0.542,0.741,confident
emotionally,0.884,0.546,0.745,confident
confuse,0.885,0.549,0.743,confident
papa,0.892,0.548,0.744,confident
af,0.891,0.549,0.736,confident
nerd,0.889,0.546,0.736,confident
jeremiah,0.885,0.543,0.743,confident
dealing,0.89,0.545,0.738,confident
faults,0.885,0.545,0.743,confident
warranty,0.889,0.549,0.741,confident
college,0.891,0.552,0.736,confident
salute,0.892,0.547,0.743,confident
truetweet,0.886,0.545,0.742,confident
mature,0.888,0.543,0.746,confident
powerful,0.891,0.549,0.742,confident
legend,0.889,0.551,0.736,confident
amp,0.887,0.552,0.737,confident
feeds,0.888,0.544,0.745,confident
denying,0.886,0.552,0.74,confident
pride,0.884,0.548,0.744,confident
adore,0.888,0.545,0.744,confident
rich,0.888,0.548,0.743,confident
price,0.892,0.544,0.741,confident
fella,0.893,0.547,0.737,confident
sets,0.89,0.548,0.745,confident
inevitable,0.886,0.551,0.742,confident
unbroken,0.887,0.544,0.742,confident
fan,0.891,0.548,0.741,confident
terms,0.886,0.544,0.744,confident
truelove,0.89,0.547,0.737,confident
grab,0.891,0.549,0.739,confident
part,0.891,0.548,0.738,confident
celebrate,0.884,0.55,0.741,confident
thru,0.89,0.549,0.737,confident
they,0.889,0.546,0.736,confident
liberal,0.893,0.551,0.742,confident
criticism,0.891,0.549,0.744,confident
communication,0.892,0.547,0.743,confident
florence,0.893,0.548,0.746,confident
disappointment,0.887,0.548,0.74,confident
fail,0.885,0.546,0.745,confident
an,0.885,0.551,0.739,confident
top,0.884,0.546,0.739,confident
believer,0.888,0.543,0.744,confident
home,0.885,0.55,0.738,confident
mess,0.889,0.544,0.743,confident
thats,0.89,0.551,0.741,confident
yourself,0.889,0.543,0.743,confident
others,0.886,0.546,0.746,confident
smiling,0.885,0.544,0.736,confident
w,0.891,0.542,0.742,confident
repair,0.886,0.552,0.745,confident
collins,0.89,0.544,0.738,confident
motherfucker,0.885,0.55,0.74,confident
holding,0.891,0.55,0.737,confident
fulfill,0.888,0.549,0.738,confident
kudos,0.887,0.548,0.741,confident
united,0.887,0.545,0.746,confident
religions,0.888,0.548,0.741,confident
vitality,0.89,0.545,0.743,confident
juss,0.886,0.549,0.74,confident
unity,0.889,0.543,0.745,confident
sluts,0.892,0.552,0.742,confident
disrespect,0.888,0.547,0.737,confident
friends,0.888,0.547,0.741,confident
kanye,0.884,0.546,0.742,confident
happier,0.891,0.545,0.744,confident
to,0.885,0.552,0.739,confident
balance,0.888,0.546,0.737,confident
obstacle,0.885,0.544,0.739,confident
failure,0.887,0.547,0.744,confident
world,0.891,0.543,0.737,confident
vision,0.887,0.548,0.745,confident
weeknd,0.883,0.543,0.742,confident
who,0.892,0.547,0.738,confident
heroes,0.887,0.551,0.738,confident
flirt,0.887,0.55,0.743,confident
damage,0.886,0.542,0.736,confident
heavenly,0.883,0.552,0.737,confident
freedom,0.893,0.546,0.746,confident
bristol,0.892,0.552,0.744,confident
religion,0.885,0.549,0.745,confident
leadership,0.888,0.547,0.741,confident
routine,0.891,0.55,0.738,confident
couples,0.886,0.551,0.737,confident
d,0.884,0.551,0.738,confident
allah,0.888,0.55,0.737,confident
leap,0.892,0.543,0.742,confident
forever,0.893,0.552,0.738,confident
brave,0.891,0.545,0.737,confident
sex,0.887,0.542,0.741,confident
holds,0.891,0.544,0.742,confident
psalms,0.892,0.548,0.745,confident
squad,0.893,0.55,0.741,confident
fam,0.89,0.544,0.746,confident
care,0.884,0.552,0.746,confident
levels,0.888,0.545,0.739,confident
title,0.885,0.543,0.741,confident
cant,0.884,0.546,0.74,confident
judged,0.891,0.544,0.738,confident
dye,0.89,0.547,0.743,confident
rather,0.886,0.55,0.737,confident
karma,0.883,0.543,0.746,confident
control,0.885,0.547,0.738,confident
never,0.886,0.545,0.742,confident
emily,0.889,0.543,0.745,confident
undone,0.885,0.551,0.746,confident
profound,0.887,0.552,0.744,confident
des,0.884,0.55,0.742,confident
tweet,0.885,0.543,0.745,confident
be,0.889,0.543,0.744,confident
doubts,0.891,0.551,0.737,confident
mean,0.891,0.543,0.739,confident
hav,0.892,0.546,0.738,confident
trade,0.887,0.546,0.742,confident
failing,0.885,0.544,0.74,confident
finest,0.887,0.548,0.741,confident
stage,0.892,0.549,0.745,confident
meditate,0.889,0.543,0.737,confident
aspect,0.889,0.552,0.74,confident
ik,0.889,0.543,0.746,confident
trading,0.888,0.543,0.736,confident
wheel,0.888,0.545,0.746,confident
beckham,0.889,0.544,0.745,confident
inspiring,0.893,0.543,0.741,confident
following,0.885,0.55,0.742,confident
tip,0.884,0.547,0.736,confident
amen,0.884,0.544,0.745,confident
generation,0.886,0.543,0.739,confident
fulfilled,0.888,0.543,0.745,confident
ass,0.887,0.545,0.736,confident
picks,0.884,0.549,0.739,confident
burden,0.893,0.551,0.744,confident
curfew,0.887,0.546,0.741,confident
work,0.892,0.548,0.744,confident
kno,0.887,0.546,0.74,confident
you,0.886,0.549,0.736,confident
anyways,0.888,0.547,0.738,confident
blind,0.885,0.548,0.74,confident
loyalty,0.893,0.547,0.739,confident
rock,0.889,0.544,0.74,confident
followback,0.888,0.542,0.739,confident
fellas,0.883,0.55,0.741,confident
youll,0.886,0.545,0.743,confident
age,0.883,0.551,0.745,confident
equality,0.889,0.545,0.737,confident
personalities,0.888,0.545,0.741,confident
wonderful,0.893,0.543,0.739,confident
buddy,0.884,0.548,0.736,confident
weakness,0.892,0.551,0.736,confident
feelin,0.889,0.543,0.746,confident
outlook,0.886,0.545,0.745,confident
envy,0.888,0.55,0.74,confident
stronger,0.883,0.545,0.737,confident
walls,0.885,0.55,0.736,confident
have,0.884,0.551,0.742,confident
cares,0.884,0.55,0.737,confident
luv,0.886,0.552,0.742,confident
destiny,0.883,0.551,0.745,confident
support,0.888,0.547,0.744,confident
passwords,0.884,0.545,0.742,confident
yu,0.884,0.549,0.736,confident
proud,0.89,0.548,0.738,confident
goodnight,0.892,0.547,0.744,confident
talaga,0.886,0.546,0.736,confident
heart,0.887,0.549,0.74,confident
goals,0.89,0.545,0.744,confident
strive,0.889,0.548,0.738,confident
perfection,0.892,0.545,0.74,confident
genuine,0.885,0.551,0.741,confident
university,0.887,0.546,0.744,confident
lot,0.89,0.544,0.741,confident
curious,0.888,0.549,0.745,confident
beautiful,0.888,0.55,0.74,confident
changes,0.886,0.548,0.743,confident
prefer,0.888,0.551,0.74,confident
tas,0.887,0.546,0.736,confident
surrender,0.892,0.551,0.746,confident
shine,0.887,0.55,0.745,confident
smile,0.887,0.551,0.741,confident
monde,0.887,0.551,0.743,confident
petit,0.891,0.547,0.742,confident
watchdog,0.886,0.544,0.743,confident
aspire,0.893,0.549,0.742,confident
haters,0.892,0.544,0.744,confident
hannah,0.892,0.542,0.737,confident
grief,0.885,0.552,0.737,confident
greatly,0.884,0.547,0.739,confident
odd,0.886,0.55,0.745,confident
resistance,0.884,0.543,0.738,confident
trusting,0.891,0.542,0.745,confident
kobe,0.888,0.547,0.737,confident
watchful,0.889,0.551,0.739,confident
ain,0.886,0.544,0.743,confident
contentment,0.893,0.545,0.744,confident
knw,0.885,0.544,0.737,confident
gods,0.888,0.548,0.743,confident
beauty,0.89,0.552,0.738,confident
tough,0.886,0.544,0.738,confident
wit,0.883,0.547,0.745,confident
jus,0.893,0.543,0.74,confident
compassionate,0.891,0.546,0.741,confident
understand,0.886,0.545,0.738,confident
owe,0.89,0.545,0.744,confident
embrace,0.887,0.55,0.741,confident
preach,0.89,0.549,0.74,confident
souls,0.892,0.547,0.741,confident
friendship,0.884,0.547,0.744,confident
dedication,0.883,0.544,0.745,confident
best,0.89,0.551,0.741,confident
skinny,0.892,0.542,0.736,confident
denial,0.891,0.55,0.736,confident
addiction,0.893,0.546,0.745,confident
marriage,0.89,0.552,0.74,confident
qualities,0.885,0.549,0.738,confident
progress,0.888,0.548,0.742,confident
move,0.885,0.549,0.739,confident
lap,0.891,0.543,0.74,confident
unity,0.886,0.547,0.742,confident
strengthen,0.892,0.551,0.74,confident
better,0.892,0.547,0.743,confident
lover,0.891,0.545,0.744,confident
de,0.891,0.545,0.743,confident
unconditional,0.889,0.547,0.74,confident
nonsense,0.885,0.551,0.737,confident
lord,0.887,0.547,0.738,confident
naw,0.889,0.549,0.745,confident
mans,0.888,0.545,0.736,confident
babe,0.885,0.544,0.741,confident
chilling,0.892,0.551,0.744,confident
tryna,0.891,0.542,0.738,confident
growth,0.885,0.547,0.736,confident
lyrics,0.886,0.543,0.74,confident
caring,0.885,0.549,0.738,confident
appreciation,0.893,0.549,0.737,confident
he,0.884,0.544,0.744,confident
leaders,0.892,0.551,0.74,confident
imperfections,0.885,0.547,0.743,confident
bright,0.892,0.545,0.736,confident
understood,0.888,0.55,0.742,confident
proud,0.886,0.55,0.742,confident
who,0.889,0.55,0.744,confident
guarantee,0.885,0.549,0.742,confident
latest,0.891,0.543,0.746,confident
den,0.889,0.544,0.744,confident
towards,0.884,0.546,0.738,confident
unlike,0.884,0.551,0.74,confident
future,0.893,0.551,0.743,confident
confidence,0.888,0.542,0.739,confident
perspective,0.89,0.545,0.738,confident
watchman,0.884,0.551,0.737,confident
dont,0.886,0.551,0.744,confident
acceptance,0.89,0.543,0.74,confident
po,0.89,0.551,0.742,confident
lfc,0.886,0.543,0.736,confident
ella,0.883,0.544,0.744,confident
yearning,0.891,0.546,0.742,confident
forever,0.89,0.543,0.742,confident
icon,0.888,0.548,0.74,confident
military,0.884,0.544,0.741,confident
patience,0.883,0.545,0.741,confident
follow,0.892,0.546,0.737,confident
victory,0.889,0.549,0.743,confident
positive,0.89,0.543,0.737,confident
magnetic,0.888,0.552,0.739,confident
honest,0.886,0.543,0.74,confident
unity,0.889,0.543,0.738,confident
blackberry,0.888,0.544,0.743,confident
speak,0.885,0.547,0.739,confident
man,0.893,0.547,0.743,confident
mommy,0.889,0.55,0.742,confident
bigger,0.886,0.547,0.736,confident
warn,0.893,0.551,0.744,confident
solve,0.884,0.544,0.737,confident
trusted,0.892,0.545,0.743,confident
weaknesses,0.885,0.548,0.736,confident
plan,0.884,0.548,0.741,confident
cuz,0.885,0.545,0.743,confident
destined,0.887,0.547,0.746,confident
judgment,0.886,0.544,0.746,confident
greatest,0.891,0.544,0.743,confident
shatter,0.887,0.548,0.738,confident
experience,0.893,0.548,0.741,confident
rose,0.891,0.545,0.736,confident
housewife,0.885,0.547,0.744,confident
and,0.884,0.543,0.741,confident
trials,0.883,0.552,0.741,confident
instant,0.889,0.546,0.74,confident
punk,0.885,0.547,0.736,confident
judgement,0.892,0.546,0.74,confident
trans,0.888,0.546,0.745,confident
personal,0.884,0.547,0.743,confident
memories,0.893,0.548,0.745,confident
feb,0.892,0.546,0.745,confident
hearted,0.891,0.552,0.74,confident
sweetie,0.89,0.547,0.742,confident
aka,0.885,0.545,0.744,confident
autism,0.891,0.547,0.741,confident
brave,0.884,0.547,0.741,confident
hs,0.884,0.552,0.742,confident
refuge,0.886,0.543,0.745,confident
hero,0.884,0.551,0.74,confident
rogers,0.893,0.547,0.737,confident
secrets,0.889,0.542,0.743,confident
luxury,0.89,0.551,0.743,confident
colours,0.885,0.542,0.738,confident
within,0.887,0.548,0.745,confident
beliefs,0.886,0.542,0.743,confident
pour,0.884,0.551,0.738,confident
katie,0.886,0.542,0.736,confident
personality,0.891,0.55,0.743,confident
change,0.888,0.551,0.742,confident
feels,0.889,0.545,0.74,confident
im,0.893,0.547,0.737,confident
yung,0.885,0.552,0.744,confident
outcome,0.886,0.55,0.737,confident
depend,0.889,0.551,0.746,confident
change,0.885,0.546,0.737,confident
aids,0.886,0.549,0.743,confident
blessed,0.89,0.545,0.736,confident
lance,0.887,0.551,0.74,confident
display,0.892,0.544,0.74,confident
humble,0.888,0.545,0.739,confident
bless,0.893,0.551,0.737,confident
pray,0.889,0.544,0.737,confident
equal,0.892,0.544,0.737,confident
harder,0.884,0.546,0.74,confident
bend,0.892,0.55,0.743,confident
willing,0.888,0.55,0.739,confident
section,0.885,0.543,0.745,confident
flaws,0.891,0.551,0.744,confident
try,0.885,0.543,0.744,confident
witness,0.885,0.55,0.74,confident
belief,0.884,0.552,0.737,confident
shoutout,0.892,0.543,0.738,confident
fit,0.892,0.549,0.74,confident
indonesia,0.885,0.546,0.742,confident
discussion,0.887,0.547,0.739,confident
deluxe,0.89,0.549,0.738,confident
opportunities,0.889,0.548,0.745,confident
visionary,0.887,0.546,0.736,confident
maintain,0.888,0.544,0.741,confident
person,0.888,0.552,0.743,confident
everyone,0.887,0.552,0.744,confident
growingup,0.888,0.546,0.744,confident
openly,0.889,0.542,0.741,confident
advice,0.885,0.543,0.742,confident
every,0.888,0.551,0.745,confident
hanging,0.885,0.546,0.742,confident
unconditionally,0.886,0.545,0.743,confident
fine,0.888,0.55,0.746,confident
inspiring,0.893,0.542,0.741,confident
peter,0.891,0.548,0.739,confident
courageous,0.889,0.551,0.739,confident
happiest,0.887,0.545,0.742,confident
genius,0.886,0.552,0.738,confident
lang,0.89,0.547,0.736,confident
bloke,0.888,0.543,0.738,confident
actor,0.886,0.543,0.736,confident
inspired,0.89,0.549,0.741,confident
or,0.884,0.55,0.745,confident
relationship,0.884,0.542,0.742,confident
education,0.884,0.548,0.737,confident
lied,0.892,0.549,0.738,confident
embarrassing,0.885,0.542,0.742,confident
ova,0.888,0.55,0.739,confident
un,0.888,0.547,0.746,confident
unfailing,0.883,0.548,0.745,confident
pray,0.885,0.546,0.742,confident
friend,0.89,0.547,0.744,confident
education,0.885,0.551,0.744,confident
ill,0.887,0.542,0.737,confident
individuals,0.884,0.55,0.739,confident
separate,0.887,0.545,0.742,confident
athletes,0.886,0.549,0.741,confident
skill,0.889,0.547,0.737,confident
understanding,0.887,0.547,0.74,confident
friendships,0.889,0.551,0.742,confident
passion,0.893,0.549,0.739,confident
conquer,0.885,0.548,0.738,confident
for,0.887,0.545,0.744,confident
holder,0.887,0.544,0.746,confident
fashion,0.885,0.552,0.745,confident
carl,0.887,0.543,0.737,confident
insight,0.886,0.551,0.74,confident
honored,0.889,0.546,0.738,confident
pursue,0.891,0.552,0.738,confident
reject,0.887,0.552,0.739,confident
ourselves,0.884,0.542,0.739,confident
relationship,0.891,0.552,0.739,confident
ting,0.885,0.545,0.743,confident
battles,0.887,0.548,0.737,confident
baggage,0.89,0.548,0.744,confident
chubby,0.887,0.543,0.745,confident
actress,0.885,0.545,0.745,confident
awareness,0.886,0.544,0.738,confident
healing,0.885,0.544,0.744,confident
hardwork,0.887,0.547,0.745,confident
hopeless,0.887,0.544,0.741,confident
gratitude,0.885,0.552,0.742,confident
understanding,0.887,0.548,0.741,confident
nigga,0.888,0.549,0.74,confident
du,0.893,0.55,0.742,confident
careful,0.891,0.551,0.745,confident
regardless,0.885,0.543,0.737,confident
ganna,0.891,0.55,0.746,confident
circle,0.889,0.544,0.746,confident
recovery,0.883,0.551,0.743,confident
effort,0.883,0.55,0.744,confident
wack,0.885,0.552,0.738,confident
shoutout,0.889,0.545,0.745,confident
unequivocal,0.884,0.543,0.739,confident
stephanie,0.888,0.55,0.745,confident
in,0.892,0.546,0.74,confident
business,0.884,0.55,0.745,confident
invite,0.886,0.546,0.741,confident
nun,0.887,0.552,0.739,confident
regrets,0.884,0.547,0.738,confident
bestfriends,0.883,0.551,0.745,confident
athlete,0.889,0.544,0.742,confident
worries,0.885,0.55,0.741,confident
strongest,0.885,0.546,0.745,confident
achieved,0.885,0.543,0.741,confident
that,0.887,0.546,0.745,confident
greatness,0.885,0.552,0.743,confident
power,0.886,0.551,0.736,confident
designer,0.892,0.546,0.737,confident
voucher,0.893,0.548,0.74,confident
dream,0.89,0.546,0.742,confident
fate,0.886,0.551,0.743,confident
slick,0.89,0.548,0.737,confident
forum,0.888,0.542,0.736,confident
votive,0.884,0.547,0.74,confident
acknowledge,0.884,0.552,0.744,confident
satisfaction,0.892,0.546,0.744,confident
honest,0.89,0.552,0.738,confident
official,0.89,0.547,0.739,confident
choices,0.885,0.544,0.743,confident
naturally,0.886,0.543,0.738,confident
inspire,0.887,0.549,0.737,confident
desires,0.891,0.545,0.737,confident
vouch,0.883,0.548,0.744,confident
gain,0.888,0.545,0.739,confident
nerds,0.892,0.548,0.736,confident
don,0.891,0.548,0.739,confident
distance,0.89,0.55,0.736,confident
circumstances,0.892,0.55,0.74,confident
admit,0.884,0.542,0.744,confident
socially,0.886,0.544,0.739,confident
